TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_Multiplier.Multiplier.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.BoothType,TOP.top_Multiplier.Multiplier.MultP.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.TreeType,TOP.top_Multiplier.Multiplier.PartialProductSum.AdderType,TOP.top_Multiplier.Multiplier.UseInc,TOP.top_Multiplier.Multiplier.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
3 , 0.116666666666667 , 29 , OFF , 1 , OFF , Wallace , DesignWare , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 75824 , Multiplier_unq1 , Multiplier , 64762 , 81 , 30 , 71288 , 0 , 75824 , 0 , 86199 , 0 , 0 , 1.84 , 0 , 2.13 , 0.9 , 64843 , svt , 0.123219 , 1.84 , 86.4804 , 5.5958 , 0.107972325305 , 1.32 , 56.9224 , 4.9752 , 0.123219 , 1.84 , 86.4804 , 5.5958 , 0.133727 , 1.80 , 89.8634 , 6.2025 , 
3 , 0.116666666666667 , 29 , OFF , 1 , OFF , Wallace , DesignWare , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 68176 , Multiplier_unq1 , Multiplier , 18164 , 78 , 30 , 66787 , 0 , 68176 , 0 , 68442 , 0 , 0 , 2.47 , 0 , 2.9100849234662 , 0.9 , 18242 , svt , 0.103847 , 2.47 , 68.6046 , 3.4769 , 0.096367674088 , 1.79 , 47.2664 , 3.5588 , 0.103847 , 2.47 , 68.6046 , 3.4769 , 0.104533 , 2.34 , 65.7402 , 3.5399 , 
7 , 0.25 , 29 , OFF , 2 , OFF , Array , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 30833 , Multiplier_unq1 , Multiplier , 6488 , 86 , 30 , 30440 , 0 , 30833 , 0 , 30355 , 0 , 0 , 9.15 , 0 , 20 , 0.9 , 6574 , svt , 0.069974 , 9.15 , 60.3505 , 3.0251 , 0.066138533187 , 7.20 , 52.6539 , 3.4504 , 0.069974 , 9.15 , 60.3505 , 3.0251 , 0.069772 , 9.50 , 63.0124 , 3.0329 , 
7 , 0.25 , 29 , OFF , 2 , OFF , Array , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 30848 , Multiplier_unq1 , Multiplier , 39997 , 88 , 30 , 30438 , 0 , 30848 , 0 , 30341 , 0 , 0 , 9.23 , 0 , 14 , 0.9 , 40085 , svt , 0.070025 , 9.23 , 60.2500 , 3.0244 , 0.066138003987 , 7.32 , 52.6385 , 3.4495 , 0.070025 , 9.23 , 60.2500 , 3.0244 , 0.069823 , 9.37 , 63.1393 , 3.0337 , 
7 , 0.25 , 29 , OFF , 2 , OFF , Array , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 30833 , Multiplier_unq1 , Multiplier , 6488 , 86 , 30 , 30440 , 0 , 30833 , 0 , 30355 , 0 , 0 , 11.95 , 1 , 20 , 0.9 , 6574 , svt , 0.069974 , 11.95 , 48.8831 , 2.2520 , 0.066138533187 , 9.43 , 42.7062 , 2.5660 , 0.069974 , 11.95 , 48.8831 , 2.2520 , 0.069772 , 12.42 , 51.0178 , 2.2577 , 
7 , 0.25 , 29 , OFF , 2 , OFF , Array , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 30848 , Multiplier_unq1 , Multiplier , 39997 , 88 , 30 , 30438 , 0 , 30848 , 0 , 30341 , 0 , 0 , 12.06 , 1 , 14 , 0.9 , 40085 , svt , 0.070025 , 12.06 , 48.8026 , 2.2515 , 0.066138003987 , 9.59 , 42.6940 , 2.5654 , 0.070025 , 12.06 , 48.8026 , 2.2515 , 0.069823 , 12.24 , 51.1225 , 2.2583 , 
7 , 0.25 , 29 , OFF , 2 , OFF , Array , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 30833 , Multiplier_unq1 , Multiplier , 6488 , 86 , 30 , 30440 , 0 , 30833 , 0 , 30355 , 0 , 0 , 17.07 , 0 , 20 , 0.9 , 6574 , svt , 0.069974 , 17.07 , 38.8531 , 1.6515 , 0.066138533187 , 13.49 , 34.0009 , 1.8798 , 0.069974 , 17.07 , 38.8531 , 1.6515 , 0.069772 , 17.74 , 40.5312 , 1.6557 , 
9 , 0.316666666666667 , 29 , OFF , 2 , OFF , OS1 , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 31847 , Multiplier_unq1 , Multiplier , 16490 , 103 , 30 , 30520 , 0 , 31847 , 0 , 35616 , 0 , 0 , 2.50 , 0 , 3.2 , 0.9 , 16593 , svt , 0.072479 , 2.50 , 56.3869 , 3.3332 , 0.06624613719 , 1.97 , 43.9317 , 3.6635 , 0.072479 , 2.50 , 56.3869 , 3.3332 , 0.07346 , 2.53 , 55.5041 , 3.2117 , 
9 , 0.316666666666667 , 29 , OFF , 2 , OFF , OS1 , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 31705 , Multiplier_unq1 , Multiplier , 25595 , 103 , 30 , 30525 , 0 , 31705 , 0 , 36502 , 0 , 0 , 2.53 , 0 , 3.23 , 0.9 , 25698 , svt , 0.072283 , 2.53 , 56.4052 , 3.3124 , 0.066261660391 , 1.98 , 43.9323 , 3.6616 , 0.072283 , 2.53 , 56.4052 , 3.3124 , 0.074 , 2.55 , 56.1662 , 3.2378 , 
9 , 0.316666666666667 , 29 , OFF , 2 , OFF , OS1 , Sklansky , NO , 128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 31634 , Multiplier_unq1 , Multiplier , 8426 , 102 , 30 , 30501 , 0 , 31634 , 0 , 33904 , 0 , 0 , 2.65 , 0 , 3.39644168730648 , 0.9 , 8528 , svt , 0.071695 , 2.65 , 55.6271 , 3.2325 , 0.066204153989 , 2.07 , 43.8413 , 3.6621 , 0.071695 , 2.65 , 55.6271 , 3.2325 , 0.072332 , 2.64 , 54.3722 , 3.1309 , 
