TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top.FPMult.EnableDenormals,TOP.top.FPMult.ExponentWidth,TOP.top.FPMult.FractionWidth,TOP.top.FPMult.Mult.Designware_MODE,TOP.top.FPMult.Mult.MultP.BoothType,TOP.top.FPMult.Mult.MultP.Designware_MODE,TOP.top.FPMult.Mult.MultP.TreeType,TOP.top.FPMult.Mult.PartialProductSum.AdderType,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
9 , 0.0358490566037736 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 3316 , FPMult_unq1 , FPMult , 734 , 36 , 30 , 3640 , 0 , 3316 , 0 , 3280 , 0 , 0 , 4.24 , 1 , 4.16832465420626 , 0.8 , 770 , hvt , 0.004635 , 4.24 , 0.9651825 , 0.023138 , 0.004985946096 , 3.33 , 1.4271 , 0.0351499 , 0.004635 , 4.24 , 0.9651825 , 0.023138 , 0.004625 , 4.32 , 0.9738508 , 0.0238644 , 
9 , 0.0358490566037736 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 3089 , FPMult_unq1 , FPMult , 775 , 38 , 30 , 3064 , 0 , 3089 , 0 , 3043 , 0 , 0 , 6.52 , 1 , 6.3149980205856 , 0.8 , 813 , hvt , 0.004635 , 6.52 , 1.5033 , 0.0238783 , 0.004483735265 , 5.05 , 1.2918 , 0.0306699 , 0.004635 , 6.52 , 1.5033 , 0.0238783 , 0.004604 , 6.45 , 1.4946 , 0.0243758 , 
10 , 0.039622641509434 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2718 , FPMult_unq1 , FPMult , 682 , 40 , 30 , 2602 , 0 , 2718 , 0 , 2649 , 0 , 0 , 5.27 , 1 , 5.0606950210353 , 0.8 , 722 , hvt , 0.00436 , 5.27 , 1.5761 , 0.0266872 , 0.004078720803 , 4.05 , 1.3694 , 0.0323155 , 0.00436 , 5.27 , 1.5761 , 0.0266872 , 0.004307 , 5.17 , 1.5623 , 0.0260028 , 
10 , 0.039622641509434 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2606 , FPMult_unq1 , FPMult , 653 , 39 , 30 , 2527 , 0 , 2606 , 0 , 2553 , 0 , 0 , 5.59 , 1 , 5.57343700063076 , 0.8 , 692 , hvt , 0.004205 , 5.59 , 1.5443 , 0.0255251 , 0.003932132386 , 4.45 , 1.3236 , 0.0310278 , 0.004205 , 5.59 , 1.5443 , 0.0255251 , 0.004184 , 5.61 , 1.5187 , 0.0252213 , 
10 , 0.039622641509434 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 2607 , FPMult_unq1 , FPMult , 633 , 39 , 30 , 2524 , 0 , 2607 , 0 , 2522 , 0 , 0 , 6.14 , 1 , 6.13812922353206 , 0.8 , 672 , hvt , 0.004184 , 6.14 , 1.4976 , 0.0241197 , 0.003910082386 , 4.91 , 1.3014 , 0.030414 , 0.004184 , 6.14 , 1.4976 , 0.0241197 , 0.004133 , 6.20 , 1.5021 , 0.0240602 , 
10 , 0.039622641509434 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2548 , FPMult_unq1 , FPMult , 618 , 38 , 30 , 2523 , 0 , 2548 , 0 , 2507 , 0 , 0 , 6.78 , 1 , 6.76003520996369 , 0.8 , 656 , hvt , 0.004143 , 6.78 , 1.4677 , 0.023312 , 0.003912022786 , 5.39 , 1.2965 , 0.0302742 , 0.004143 , 6.78 , 1.4677 , 0.023312 , 0.004123 , 6.80 , 1.4812 , 0.0233649 , 
12 , 0.0471698113207547 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , Wallace , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2623 , FPMult_unq1 , FPMult , 3058 , 39 , 30 , 2547 , 0 , 2623 , 0 , 2544 , 0 , 0 , 6.54 , 1 , 6.52 , 0.8 , 3097 , hvt , 0.004205 , 6.54 , 1.4884 , 0.0237875 , 0.003944303986 , 5.21 , 1.3186 , 0.0309642 , 0.004205 , 6.54 , 1.4884 , 0.0237875 , 0.004164 , 6.54 , 1.4868 , 0.0241838 , 
12 , 0.0471698113207547 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , Wallace , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2601 , FPMult_unq1 , FPMult , 620 , 37 , 30 , 2548 , 0 , 2601 , 0 , 2535 , 0 , 0 , 6.77 , 1 , 6.74615723046253 , 0.8 , 657 , hvt , 0.004184 , 6.77 , 1.4750 , 0.0238282 , 0.003936013186 , 5.39 , 1.3084 , 0.0306292 , 0.004184 , 6.77 , 1.4750 , 0.0238282 , 0.004153 , 6.78 , 1.4698 , 0.0237292 , 
12 , 0.0471698113207547 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , Wallace , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2598 , FPMult_unq1 , FPMult , 603 , 37 , 30 , 2558 , 0 , 2598 , 0 , 2533 , 0 , 0 , 6.94 , 1 , 6.9588130547587 , 0.8 , 640 , hvt , 0.004184 , 6.94 , 1.4626 , 0.0236212 , 0.003942010787 , 5.54 , 1.2994 , 0.0304614 , 0.004184 , 6.94 , 1.4626 , 0.0236212 , 0.004153 , 6.92 , 1.4546 , 0.0232841 , 
13 , 0.0509433962264151 , 264 , hvt , 0.8 , YES , 8 , 23 , OFF , 2 , OFF , ZM , DesignWare , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 3950 , FPMult_unq1 , FPMult , 919 , 39 , 30 , 4297 , 0 , 3950 , 0 , 3969 , 0 , 0 , 3.96 , 1 , 3.93170249855249 , 0.8 , 958 , hvt , 0.005101 , 3.96 , 1.1367 , 0.0270835 , 0.005815378908 , 3.15 , 1.7099 , 0.0440878 , 0.005101 , 3.96 , 1.1367 , 0.0270835 , 0.005164 , 4.04 , 1.1546 , 0.0284627 , 
