TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 6214 , MultiplierP_unq1 , MultiplierP , 1264 , 43 , 30 , 6196 , 0 , 6214 , 0 , 6189 , 0 , 0 , 4.96 , 0 , 3.47037461954758 , 0.9 , 1307 , svt , 0.011964 , 4.96 , 5.4884 , 0.2587898 , 0.011508865193 , 4.00 , 5.0038 , 0.3330102 , 0.011964 , 4.96 , 5.4884 , 0.2587898 , 0.012074 , 5.01 , 6.0833 , 0.268773 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 5716 , MultiplierP_unq1 , MultiplierP , 1203 , 43 , 30 , 5689 , 0 , 5716 , 0 , 5690 , 0 , 0 , 5.27 , 0 , 3.67952431664343 , 0.9 , 1246 , svt , 0.01168 , 5.27 , 5.4298 , 0.2577719 , 0.011190992347 , 4.24 , 4.9168 , 0.3269291 , 0.01168 , 5.27 , 5.4298 , 0.2577719 , 0.011789 , 5.26 , 5.9013 , 0.2640987 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 5307 , MultiplierP_unq1 , MultiplierP , 1106 , 42 , 30 , 5277 , 0 , 5307 , 0 , 5214 , 0 , 0 , 5.58 , 0 , 3.90127887649642 , 0.9 , 1148 , svt , 0.011527 , 5.58 , 5.4398 , 0.2622238 , 0.010980017892 , 4.48 , 4.8949 , 0.3274791 , 0.011527 , 5.58 , 5.4398 , 0.2622238 , 0.011527 , 5.62 , 5.8896 , 0.2686923 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 5085 , MultiplierP_unq1 , MultiplierP , 1052 , 42 , 30 , 5060 , 0 , 5085 , 0 , 4964 , 0 , 0 , 5.79 , 0 , 4.13639795865823 , 0.9 , 1094 , svt , 0.011396 , 5.79 , 5.4696 , 0.2658954 , 0.010831489069 , 4.74 , 4.8837 , 0.3266172 , 0.011396 , 5.79 , 5.4696 , 0.2658954 , 0.011396 , 5.91 , 5.9561 , 0.2683043 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 5058 , MultiplierP_unq1 , MultiplierP , 1044 , 41 , 30 , 5031 , 0 , 5058 , 0 , 4933 , 0 , 0 , 6.16 , 0 , 4.38568700522059 , 0.9 , 1085 , svt , 0.011374 , 6.16 , 5.4790 , 0.2663647 , 0.010781038668 , 4.97 , 4.8759 , 0.3250223 , 0.011374 , 6.16 , 5.4790 , 0.2663647 , 0.011374 , 6.24 , 5.9925 , 0.2678791 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 53 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 5058 , MultiplierP_unq1 , MultiplierP , 1122 , 44 , 30 , 5031 , 0 , 5058 , 0 , 4916 , 0 , 0 , 6.63 , 0 , 40 , 0.9 , 1166 , svt , 0.011374 , 6.63 , 5.4915 , 0.2662073 , 0.010781038668 , 4.97 , 4.8756 , 0.3249502 , 0.011374 , 6.63 , 5.4915 , 0.2662073 , 0.011352 , 6.51 , 6.0247 , 0.2689878 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 53 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 5017 , MultiplierP_unq1 , MultiplierP , 1181 , 47 , 30 , 4982 , 0 , 5017 , 0 , 4903 , 0 , 0 , 3.31 , 0 , 40 , 0.9 , 1228 , svt , 0.011374 , 3.31 , 4.9704 , 0.2663652 , 0.010768690666 , 1.89 , 4.0929 , 0.3253418 , 0.011374 , 3.31 , 4.9704 , 0.2663652 , 0.011352 , 3.65 , 5.2435 , 0.2686153 , 
6 , 0.141304347826087 , 45 , svt , 0.8 , 2 , OFF , Wallace , 53 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 5105 , MultiplierP_unq1 , MultiplierP , 1174 , 45 , 30 , 5071 , 0 , 5105 , 0 , 4975 , 0 , 0 , 3.08 , 0 , 40 , 0.9 , 1219 , svt , 0.011449 , 3.08 , 4.9919 , 0.2674933 , 0.010838368667 , 1.63 , 4.1416 , 0.3267441 , 0.011449 , 3.08 , 4.9919 , 0.2674933 , 0.011427 , 3.24 , 5.1785 , 0.270026 , 
7 , 0.16304347826087 , 45 , svt , 0.8 , 2 , OFF , ZM , 53 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 5012 , MultiplierP_unq1 , MultiplierP , 1302 , 52 , 30 , 4982 , 0 , 5012 , 0 , 4930 , 0 , 0 , 3.51 , 0 , 40 , 0.9 , 1354 , svt , 0.011374 , 3.51 , 4.8366 , 0.2660948 , 0.010768690666 , 2.46 , 4.0736 , 0.3254402 , 0.011374 , 3.51 , 4.8366 , 0.2660948 , 0.011352 , 3.89 , 5.0964 , 0.2680288 , 
8 , 0.184782608695652 , 45 , svt , 0.8 , 3 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 8913 , MultiplierP_unq1 , MultiplierP , 1207 , 40 , 30 , 8798 , 0 , 8913 , 0 , 6136 , 0 , 0 , 5.51 , 0 , 3.94805883728377 , 0.9 , 1247 , svt , 0.012135 , 5.51 , 4.5864 , 0.2133322 , 0.01142595721 , 4.14 , 3.8970 , 0.2779371 , 0.012135 , 5.51 , 4.5864 , 0.2133322 , 0.010624 , 5.62 , 4.9631 , 0.2045016 , 
8 , 0.184782608695652 , 45 , svt , 0.8 , 3 , OFF , Array , 53 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 8915 , MultiplierP_unq1 , MultiplierP , 1178 , 39 , 30 , 8797 , 0 , 8915 , 0 , 6141 , 0 , 0 , 5.59 , 0 , 4.06833768071246 , 0.9 , 1217 , svt , 0.012135 , 5.59 , 4.5896 , 0.2131821 , 0.01142578081 , 4.15 , 3.9054 , 0.2826356 , 0.012135 , 5.59 , 4.5896 , 0.2131821 , 0.010646 , 5.78 , 4.9752 , 0.2048813 , 
