TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top.FPMult.EnableDenormals,TOP.top.FPMult.ExponentWidth,TOP.top.FPMult.FractionWidth,TOP.top.FPMult.Mult.Designware_MODE,TOP.top.FPMult.Mult.MultP.BoothType,TOP.top.FPMult.Mult.MultP.Designware_MODE,TOP.top.FPMult.Mult.MultP.TreeType,TOP.top.FPMult.Mult.PartialProductSum.AdderType,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
10 , 0.132911392405063 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 2 , OFF , Wallace , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 18053 , FPMult_unq1 , FPMult , 10721 , 54 , 30 , 18130 , 0 , 18053 , 0 , 19179 , 0 , 0 , 2.53 , 0 , 0.8 , 0.9 , 10775 , svt , 0.02796 , 2.53 , 7.2072 , 0.6539338 , 0.026030466527 , 2.29 , 9.1421 , 0.7186008 , 0.02796 , 2.53 , 7.2072 , 0.6539338 , 0.029672 , 2.42 , 7.6814 , 0.7056877 , 
10 , 0.132911392405063 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 2 , OFF , Wallace , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11844 , FPMult_unq1 , FPMult , 2333 , 43 , 30 , 11560 , 0 , 11844 , 0 , 12016 , 0 , 0 , 4.12 , 0 , 2.7824062857818 , 0.9 , 2376 , svt , 0.01867 , 4.12 , 7.6404 , 0.369043 , 0.017260387497 , 3.20 , 6.3655 , 0.4313216 , 0.01867 , 4.12 , 7.6404 , 0.369043 , 0.018714 , 4.11 , 7.6266 , 0.3638029 , 
10 , 0.132911392405063 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 2 , OFF , Wallace , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11315 , FPMult_unq1 , FPMult , 2234 , 43 , 30 , 11098 , 0 , 11315 , 0 , 11530 , 0 , 0 , 4.83 , 0 , 3.3151469417831 , 0.9 , 2277 , svt , 0.018092 , 4.83 , 7.2714 , 0.3406281 , 0.016977794669 , 3.81 , 6.1047 , 0.4101931 , 0.018092 , 4.83 , 7.2714 , 0.3406281 , 0.018136 , 4.89 , 7.2372 , 0.3335122 , 
11 , 0.145569620253165 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 2 , OFF , Wallace , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 8503 , FPMult_unq1 , FPMult , 10486 , 45 , 30 , 8189 , 0 , 8503 , 0 , 8196 , 0 , 0 , 6.06 , 0 , 4.24 , 0.9 , 10531 , svt , 0.015581 , 6.06 , 6.8664 , 0.323277 , 0.014529362292 , 4.85 , 5.7707 , 0.3966897 , 0.015581 , 6.06 , 6.8664 , 0.323277 , 0.01543 , 6.12 , 6.8335 , 0.3234422 , 
14 , 0.183544303797468 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 13918 , FPMult_unq1 , FPMult , 11500 , 45 , 30 , 13739 , 0 , 13918 , 0 , 11366 , 0 , 0 , 6.65 , 0 , 4.52 , 0.9 , 11545 , svt , 0.017892 , 6.65 , 6.6187 , 0.2733575 , 0.016917818682 , 5.20 , 5.6348 , 0.3839932 , 0.017892 , 6.65 , 6.6187 , 0.2733575 , 0.016447 , 6.62 , 6.5389 , 0.260337 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12156 , FPMult_unq1 , FPMult , 15167 , 48 , 30 , 11877 , 0 , 12156 , 0 , 9286 , 0 , 0 , 6.69 , 0 , 4.68 , 0.9 , 15215 , svt , 0.01618 , 6.69 , 6.4935 , 0.2707145 , 0.015077084434 , 5.35 , 5.2694 , 0.3504667 , 0.01618 , 6.69 , 6.4935 , 0.2707145 , 0.01458 , 6.73 , 6.3637 , 0.2560733 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12065 , FPMult_unq1 , FPMult , 1728 , 46 , 30 , 11881 , 0 , 12065 , 0 , 9249 , 0 , 0 , 6.97 , 0 , 4.8652613765139 , 0.9 , 1774 , svt , 0.016114 , 6.97 , 6.4694 , 0.2705618 , 0.015074791235 , 5.25 , 5.3189 , 0.3571941 , 0.016114 , 6.97 , 6.4694 , 0.2705618 , 0.014513 , 6.93 , 6.3554 , 0.2538405 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12060 , FPMult_unq1 , FPMult , 1728 , 46 , 30 , 11879 , 0 , 12060 , 0 , 9239 , 0 , 0 , 7.22 , 0 , 5.05785646619614 , 0.9 , 1774 , svt , 0.016114 , 7.22 , 6.4361 , 0.2667011 , 0.015075673234 , 5.44 , 5.3076 , 0.3569468 , 0.016114 , 7.22 , 6.4361 , 0.2667011 , 0.014513 , 7.19 , 6.3192 , 0.2513144 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12065 , FPMult_unq1 , FPMult , 1713 , 46 , 30 , 11881 , 0 , 12065 , 0 , 9236 , 0 , 0 , 7.50 , 0 , 5.25807557968699 , 0.9 , 1759 , svt , 0.016091 , 7.50 , 6.4010 , 0.2622455 , 0.015075673234 , 5.58 , 5.3052 , 0.356493 , 0.016091 , 7.50 , 6.4010 , 0.2622455 , 0.014513 , 7.54 , 6.3341 , 0.2525992 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12057 , FPMult_unq1 , FPMult , 1676 , 45 , 30 , 11879 , 0 , 12057 , 0 , 9238 , 0 , 0 , 7.79 , 0 , 5.46622051979531 , 0.9 , 1721 , svt , 0.016069 , 7.79 , 6.4160 , 0.2638091 , 0.015076026034 , 5.56 , 5.2993 , 0.3565009 , 0.016069 , 7.79 , 6.4160 , 0.2638091 , 0.014491 , 7.77 , 6.2840 , 0.248519 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 12035 , FPMult_unq1 , FPMult , 1707 , 47 , 30 , 11874 , 0 , 12035 , 0 , 9229 , 0 , 0 , 8.05 , 0 , 5.9075552995087 , 0.9 , 1754 , svt , 0.016069 , 8.05 , 6.4255 , 0.2606427 , 0.015067558834 , 5.46 , 5.3100 , 0.3541344 , 0.016069 , 8.05 , 6.4255 , 0.2606427 , 0.014469 , 8.36 , 6.3602 , 0.2460402 , 
15 , 0.19620253164557 , 78 , svt , 0.8 , YES , 11 , 52 , OFF , 3 , OFF , OS1 , Sklansky , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 12053 , FPMult_unq1 , FPMult , 2435 , 47 , 30 , 11881 , 0 , 12053 , 0 , 9237 , 0 , 0 , 8.14 , 0 , 5.68260503642476 , 0.9 , 2482 , svt , 0.016091 , 8.14 , 6.4008 , 0.2618325 , 0.015075496834 , 5.58 , 5.3125 , 0.3568406 , 0.016091 , 8.14 , 6.4008 , 0.2618325 , 0.014491 , 8.10 , 6.2947 , 0.2466578 , 
