TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
0 , 0.00367647058823529 , 135 , hvt , 0.8 , 1 , OFF , Array , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3791 , MultiplierP_unq1 , MultiplierP , 670 , 35 , 30 , 3791 , 0 , 3791 , 0 , 3794 , 0 , 0 , 11.38 , 1 , 40 , 0.8 , 705 , hvt , 0.005744 , 11.38 , 1.7461 , 0.0208013 , 0.005452524059 , 10.31 , 1.4654 , 0.0213291 , 0.005744 , 11.38 , 1.7461 , 0.0208013 , 0.005755 , 11.86 , 1.8768 , 0.0209933 , 
4 , 0.0330882352941176 , 135 , hvt , 0.8 , 2 , OFF , Array , 32 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 2199 , MultiplierP_unq1 , MultiplierP , 978 , 34 , 30 , 2181 , 0 , 2199 , 0 , 2157 , 0 , 0 , 4.86 , 1 , 4.86666015221547 , 0.8 , 1012 , hvt , 0.004343 , 4.86 , 1.7519 , 0.0281954 , 0.004163392786 , 3.89 , 1.5906 , 0.03593 , 0.004343 , 4.86 , 1.7519 , 0.0281954 , 0.00433 , 5.01 , 1.9046 , 0.0288685 , 
4 , 0.0330882352941176 , 135 , hvt , 0.8 , 2 , OFF , Array , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1925 , MultiplierP_unq1 , MultiplierP , 533 , 35 , 30 , 1918 , 0 , 1925 , 0 , 1881 , 0 , 0 , 5.66 , 1 , 5.89220010823589 , 0.8 , 568 , hvt , 0.004216 , 5.66 , 1.7740 , 0.0292638 , 0.003992108355 , 4.65 , 1.5783 , 0.0356865 , 0.004216 , 5.66 , 1.7740 , 0.0292638 , 0.004203 , 5.79 , 1.8893 , 0.0293102 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 32 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2478 , MultiplierP_unq1 , MultiplierP , 706 , 36 , 30 , 2473 , 0 , 2478 , 0 , 2633 , 0 , 0 , 2.12 , 1 , 2.09750297696493 , 0.8 , 742 , hvt , 0.004678 , 2.12 , 1.7357 , 0.0321172 , 0.004568936424 , 1.68 , 1.4880 , 0.0392748 , 0.004678 , 2.12 , 1.7357 , 0.0321172 , 0.004786 , 2.24 , 1.9031 , 0.0339188 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 32 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 2334 , MultiplierP_unq1 , MultiplierP , 698 , 36 , 30 , 2323 , 0 , 2334 , 0 , 2468 , 0 , 0 , 2.26 , 1 , 2.24557897787605 , 0.8 , 734 , hvt , 0.004558 , 2.26 , 1.7043 , 0.0314783 , 0.004324798797 , 1.80 , 1.4440 , 0.0375224 , 0.004558 , 2.26 , 1.7043 , 0.0314783 , 0.004638 , 2.40 , 1.8780 , 0.0328762 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1898 , MultiplierP_unq1 , MultiplierP , 556 , 36 , 30 , 1889 , 0 , 1898 , 0 , 1909 , 0 , 0 , 2.91 , 1 , 2.95006324216029 , 0.8 , 592 , hvt , 0.004229 , 2.91 , 1.6135 , 0.0294945 , 0.003985052354 , 2.34 , 1.3658 , 0.0357792 , 0.004229 , 2.91 , 1.6135 , 0.0294945 , 0.004229 , 2.95 , 1.7083 , 0.0295929 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1897 , MultiplierP_unq1 , MultiplierP , 530 , 37 , 30 , 1889 , 0 , 1897 , 0 , 1836 , 0 , 0 , 3.62 , 1 , 20 , 0.8 , 567 , hvt , 0.004203 , 3.62 , 1.6431 , 0.0292496 , 0.003985052354 , 2.34 , 1.3659 , 0.0357873 , 0.004203 , 3.62 , 1.6431 , 0.0292496 , 0.004177 , 3.74 , 1.7102 , 0.029205 , 
6 , 0.0477941176470588 , 135 , hvt , 0.8 , 2 , OFF , Wallace , 32 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1930 , MultiplierP_unq1 , MultiplierP , 554 , 36 , 30 , 1926 , 0 , 1930 , 0 , 1911 , 0 , 0 , 2.87 , 1 , 3.08275872620252 , 0.8 , 590 , hvt , 0.004242 , 2.87 , 1.6019 , 0.0294671 , 0.004015393155 , 2.18 , 1.3736 , 0.0359821 , 0.004242 , 2.87 , 1.6019 , 0.0294671 , 0.004229 , 3.10 , 1.7166 , 0.0297195 , 
6 , 0.0477941176470588 , 135 , hvt , 0.8 , 2 , OFF , Wallace , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1933 , MultiplierP_unq1 , MultiplierP , 2251 , 34 , 30 , 1926 , 0 , 1933 , 0 , 1884 , 0 , 0 , 3.07 , 1 , 3.48 , 0.8 , 2285 , hvt , 0.004242 , 3.07 , 1.6191 , 0.0294169 , 0.004015393155 , 2.18 , 1.3736 , 0.0359837 , 0.004242 , 3.07 , 1.6191 , 0.0294169 , 0.004216 , 3.46 , 1.6982 , 0.0294276 , 
6 , 0.0477941176470588 , 135 , hvt , 0.8 , 2 , OFF , Wallace , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1936 , MultiplierP_unq1 , MultiplierP , 529 , 36 , 30 , 1926 , 0 , 1936 , 0 , 1875 , 0 , 0 , 3.20 , 1 , 20 , 0.8 , 565 , hvt , 0.004242 , 3.20 , 1.6089 , 0.0294227 , 0.004015393155 , 2.18 , 1.3736 , 0.0359837 , 0.004242 , 3.20 , 1.6089 , 0.0294227 , 0.004203 , 3.77 , 1.7195 , 0.0293697 , 
