TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_FPMult.FPMult.EnableDenormals,TOP.top_FPMult.FPMult.ExponentWidth,TOP.top_FPMult.FPMult.FractionWidth,TOP.top_FPMult.FPMult.Mult.Designware_MODE,TOP.top_FPMult.FPMult.Mult.MultP.Designware_MODE,TOP.top_FPMult.FPMult.Mult.PartialProductSum.AdderType,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1069 , FPMult_unq1 , FPMult , 387 , 36 , 30 , 1072 , 0 , 1069 , 0 , 955 , 0 , 0 , 2.50 , 0 , 20 , 0.9 , 423 , svt , 0.001269 , 2.50 , 0.4928102 , 0.0281501 , 0.001202518811 , 1.42 , 0.4360779 , 0.0450688 , 0.001269 , 2.50 , 0.4928102 , 0.0281501 , 0.001204 , 2.57 , 0.4855153 , 0.0271938 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1259 , FPMult_unq1 , FPMult , 409 , 34 , 30 , 1289 , 0 , 1259 , 0 , 1115 , 0 , 0 , 2.50 , 1 , 2.50070579970783 , 0.9 , 443 , svt , 0.001457 , 2.50 , 0.3030413 , 0.0250909 , 0.001422666013 , 2.00 , 0.3890994 , 0.0397547 , 0.001457 , 2.50 , 0.3030413 , 0.0250909 , 0.00137 , 2.50 , 0.2934719 , 0.0241329 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1267 , FPMult_unq1 , FPMult , 408 , 36 , 30 , 1291 , 0 , 1267 , 0 , 1114 , 0 , 0 , 2.52 , 0 , 20 , 0.9 , 444 , svt , 0.001432 , 2.52 , 0.3806857 , 0.0308095 , 0.001374508811 , 1.67 , 0.4515707 , 0.0489716 , 0.001432 , 2.52 , 0.3806857 , 0.0308095 , 0.001345 , 2.57 , 0.37794 , 0.0294192 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1059 , FPMult_unq1 , FPMult , 380 , 34 , 30 , 1062 , 0 , 1059 , 0 , 944 , 0 , 0 , 2.53 , 0 , 20 , 0.9 , 414 , svt , 0.001263 , 2.53 , 0.48761 , 0.0280847 , 0.001198638011 , 1.42 , 0.4320684 , 0.0450154 , 0.001263 , 2.53 , 0.48761 , 0.0280847 , 0.001204 , 2.66 , 0.4771767 , 0.0271407 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1257 , FPMult_unq1 , FPMult , 414 , 34 , 30 , 1282 , 0 , 1257 , 0 , 1104 , 0 , 0 , 2.55 , 0 , 20 , 0.9 , 448 , svt , 0.001426 , 2.55 , 0.3765205 , 0.0309579 , 0.00137239201 , 1.64 , 0.4487415 , 0.0489147 , 0.001426 , 2.55 , 0.3765205 , 0.0309579 , 0.001345 , 2.62 , 0.3686504 , 0.0293984 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 887 , FPMult_unq1 , FPMult , 377 , 35 , 30 , 887 , 0 , 887 , 0 , 866 , 0 , 0 , 2.61 , 0 , 20 , 0.9 , 412 , svt , 0.001222 , 2.61 , 0.5042842 , 0.0323173 , 0.001154890804 , 1.42 , 0.4499492 , 0.0480823 , 0.001222 , 2.61 , 0.5042842 , 0.0323173 , 0.001211 , 2.67 , 0.5030647 , 0.0320957 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 886 , FPMult_unq1 , FPMult , 395 , 35 , 30 , 886 , 0 , 886 , 0 , 865 , 0 , 0 , 2.61 , 0 , 20 , 0.9 , 430 , svt , 0.001222 , 2.61 , 0.5116749 , 0.0324933 , 0.001154714404 , 1.41 , 0.4492682 , 0.0478952 , 0.001222 , 2.61 , 0.5116749 , 0.0324933 , 0.001211 , 2.76 , 0.5134488 , 0.0323166 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1280 , FPMult_unq1 , FPMult , 480 , 35 , 30 , 1299 , 0 , 1280 , 0 , 1125 , 0 , 0 , 2.73 , 1 , 2.74568724033619 , 0.9 , 515 , svt , 0.001463 , 2.73 , 0.3113301 , 0.0256785 , 0.00140696641 , 2.19 , 0.3760007 , 0.0378744 , 0.001463 , 2.73 , 0.3113301 , 0.0256785 , 0.001376 , 2.67 , 0.2972749 , 0.0238754 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1088 , FPMult_unq1 , FPMult , 420 , 37 , 30 , 1090 , 0 , 1088 , 0 , 977 , 0 , 0 , 2.75 , 1 , 2.75310941782321 , 0.9 , 457 , svt , 0.001298 , 2.75 , 0.4016781 , 0.0229588 , 0.001229155211 , 2.19 , 0.3599399 , 0.0341983 , 0.001298 , 2.75 , 0.4016781 , 0.0229588 , 0.001234 , 2.70 , 0.3983506 , 0.0225985 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 898 , FPMult_unq1 , FPMult , 395 , 37 , 30 , 901 , 0 , 898 , 0 , 906 , 0 , 0 , 2.86 , 1 , 2.87130362051766 , 0.9 , 432 , svt , 0.001306 , 2.86 , 0.4257407 , 0.0324231 , 0.001237445996 , 2.26 , 0.3805669 , 0.0396637 , 0.001306 , 2.86 , 0.4257407 , 0.0324231 , 0.00131 , 2.86 , 0.4297547 , 0.032868 , 
