TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21762 , MultiplierP_unq1 , MultiplierP , 4483 , 69 , 30 , 21603 , 0 , 21762 , 0 , 21543 , 0 , 0 , 12.29 , 0 , 9.4028060696953 , 0.9 , 4552 , svt , 0.051502 , 12.29 , 27.8562 , 1.2390 , 0.048781302546 , 10.59 , 24.8783 , 1.4902 , 0.051502 , 12.29 , 27.8562 , 1.2390 , 0.051546 , 12.83 , 29.8632 , 1.2469 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21886 , MultiplierP_unq1 , MultiplierP , 4667 , 73 , 30 , 21727 , 0 , 21886 , 0 , 21647 , 0 , 0 , 12.34 , 0 , 8.99269080102554 , 0.9 , 4740 , svt , 0.051546 , 12.34 , 27.7919 , 1.2338 , 0.048894198557 , 10.30 , 24.8527 , 1.4895 , 0.051546 , 12.34 , 27.7919 , 1.2338 , 0.051635 , 12.44 , 29.5945 , 1.2416 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21769 , MultiplierP_unq1 , MultiplierP , 4537 , 69 , 30 , 21613 , 0 , 21769 , 0 , 21543 , 0 , 0 , 12.37 , 0 , 9.26406385150035 , 0.9 , 4606 , svt , 0.051502 , 12.37 , 27.8365 , 1.2386 , 0.048786770947 , 10.62 , 24.8758 , 1.4907 , 0.051502 , 12.37 , 27.8365 , 1.2386 , 0.051546 , 12.61 , 29.7626 , 1.2461 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21763 , MultiplierP_unq1 , MultiplierP , 4661 , 75 , 30 , 21616 , 0 , 21763 , 0 , 21734 , 0 , 0 , 12.39 , 0 , 9.12736883102137 , 0.9 , 4736 , svt , 0.051502 , 12.39 , 27.8475 , 1.2384 , 0.048803352547 , 10.46 , 24.8852 , 1.4918 , 0.051502 , 12.39 , 27.8475 , 1.2384 , 0.051635 , 12.72 , 29.9237 , 1.2445 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21766 , MultiplierP_unq1 , MultiplierP , 4402 , 71 , 30 , 21603 , 0 , 21766 , 0 , 21528 , 0 , 0 , 12.47 , 0 , 9.68655519691597 , 0.9 , 4473 , svt , 0.051502 , 12.47 , 27.8565 , 1.2390 , 0.048781302546 , 10.59 , 24.8797 , 1.4911 , 0.051502 , 12.47 , 27.8565 , 1.2390 , 0.051546 , 12.82 , 29.8438 , 1.2471 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 21753 , MultiplierP_unq1 , MultiplierP , 4447 , 72 , 30 , 21603 , 0 , 21753 , 0 , 21506 , 0 , 0 , 12.48 , 0 , 9.54362614523432 , 0.9 , 4519 , svt , 0.051502 , 12.48 , 27.8719 , 1.2390 , 0.048781302546 , 10.59 , 24.8803 , 1.4912 , 0.051502 , 12.48 , 27.8719 , 1.2390 , 0.051546 , 12.60 , 29.7396 , 1.2467 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 113 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 21774 , MultiplierP_unq1 , MultiplierP , 24008 , 72 , 30 , 21603 , 0 , 21774 , 0 , 21520 , 0 , 0 , 12.64 , 0 , 43.44 , 0.9 , 24080 , svt , 0.051502 , 12.64 , 27.8990 , 1.2382 , 0.048781302546 , 10.65 , 24.8804 , 1.4911 , 0.051502 , 12.64 , 27.8990 , 1.2382 , 0.051502 , 13.18 , 30.1996 , 1.2462 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 29752 , MultiplierP_unq1 , MultiplierP , 23148 , 84 , 30 , 29145 , 0 , 29752 , 0 , 37014 , 0 , 0 , 2.43 , 0 , 1.66 , 0.9 , 23232 , svt , 0.060651 , 2.43 , 28.5420 , 1.5664 , 0.05405883845 , 1.92 , 21.3929 , 1.5758 , 0.060651 , 2.43 , 28.5420 , 1.5664 , 0.066274 , 2.55 , 32.0621 , 1.6999 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 23826 , MultiplierP_unq1 , MultiplierP , 7295 , 85 , 30 , 23465 , 0 , 23826 , 0 , 28613 , 0 , 0 , 2.68 , 0 , 1.8272865502045 , 0.9 , 7380 , svt , 0.055697 , 2.68 , 26.6830 , 1.4488 , 0.050409298321 , 2.11 , 20.4564 , 1.5249 , 0.055697 , 2.68 , 26.6830 , 1.4488 , 0.057884 , 2.76 , 28.3444 , 1.4631 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 113 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 22079 , MultiplierP_unq1 , MultiplierP , 6472 , 84 , 30 , 21821 , 0 , 22079 , 0 , 26625 , 0 , 0 , 2.77 , 0 , 1.94126519567341 , 0.9 , 6556 , svt , 0.053912 , 2.77 , 25.6804 , 1.3846 , 0.049233239365 , 2.24 , 20.1573 , 1.5070 , 0.053912 , 2.77 , 25.6804 , 1.3846 , 0.056009 , 2.92 , 28.0351 , 1.4107 , 
