TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_FMA.FMA.Designware_MODE,TOP.top_FMA.FMA.EnableDenormals,TOP.top_FMA.FMA.ExponentWidth,TOP.top_FMA.FMA.FMA_MAN0.MUL0.BoothType,TOP.top_FMA.FMA.FMA_MAN0.MUL0.Designware_MODE,TOP.top_FMA.FMA.FMA_MAN0.MUL0.TreeType,TOP.top_FMA.FMA.FractionWidth,TOP.top_FMA.FMA.UseInc,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.0918367346938776 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Array , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11921 , FMA_unq1 , FMA , 21421 , 46 , 30 , 11718 , 0 , 11921 , 0 , 11756 , 0 , 0 , 11.17 , 0 , 7.84 , 0.9 , 21467 , svt , 0.019489 , 11.17 , 9.2597 , 0.3641299 , 0.018267807542 , 8.98 , 7.8869 , 0.4554492 , 0.019489 , 11.17 , 9.2597 , 0.3641299 , 0.019336 , 11.23 , 9.4278 , 0.3618586 , 
4 , 0.0918367346938776 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Array , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11488 , FMA_unq1 , FMA , 2139 , 47 , 30 , 11260 , 0 , 11488 , 0 , 11521 , 0 , 0 , 11.90 , 0 , 8.31028087576144 , 0.9 , 2186 , svt , 0.019226 , 11.90 , 9.6489 , 0.3682908 , 0.018064241908 , 9.53 , 7.9503 , 0.4564626 , 0.019226 , 11.90 , 9.6489 , 0.3682908 , 0.019358 , 11.90 , 9.7618 , 0.3716767 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 18300 , FMA_unq1 , FMA , 3837 , 45 , 30 , 16742 , 0 , 18300 , 0 , 19295 , 0 , 0 , 4.88 , 0 , 3.22284449782659 , 0.9 , 3882 , svt , 0.024982 , 4.88 , 10.6460 , 0.5128644 , 0.021769877159 , 3.70 , 7.6912 , 0.4913706 , 0.024982 , 4.88 , 10.6460 , 0.5128644 , 0.025404 , 4.94 , 10.7874 , 0.5152211 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 17932 , FMA_unq1 , FMA , 3523 , 45 , 30 , 16568 , 0 , 17932 , 0 , 17897 , 0 , 0 , 5.63 , 0 , 3.77699151169858 , 0.9 , 3568 , svt , 0.023522 , 5.63 , 9.7784 , 0.4271635 , 0.021134660745 , 4.35 , 7.2775 , 0.455355 , 0.023522 , 5.63 , 9.7784 , 0.4271635 , 0.023328 , 5.63 , 9.7592 , 0.4223461 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 15526 , FMA_unq1 , FMA , 3170 , 45 , 30 , 14737 , 0 , 15526 , 0 , 15318 , 0 , 0 , 6.43 , 0 , 4.42642047702381 , 0.9 , 3215 , svt , 0.022166 , 6.43 , 9.5328 , 0.3809084 , 0.020340507875 , 5.08 , 7.9230 , 0.4778331 , 0.022166 , 6.43 , 9.5328 , 0.3809084 , 0.022144 , 6.45 , 9.4168 , 0.3739664 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12367 , FMA_unq1 , FMA , 2341 , 45 , 30 , 12171 , 0 , 12367 , 0 , 12180 , 0 , 0 , 8.66 , 0 , 6.07947366142827 , 0.9 , 2386 , svt , 0.020057 , 8.66 , 8.8844 , 0.3824102 , 0.01879665481 , 6.97 , 7.2824 , 0.4641282 , 0.020057 , 8.66 , 8.8844 , 0.3824102 , 0.019949 , 8.73 , 9.0815 , 0.3807982 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11770 , FMA_unq1 , FMA , 2341 , 46 , 30 , 11427 , 0 , 11770 , 0 , 11669 , 0 , 0 , 10.25 , 0 , 7.12479935978754 , 0.9 , 2387 , svt , 0.019519 , 10.25 , 8.7376 , 0.3800732 , 0.018230763519 , 8.17 , 7.2255 , 0.4628541 , 0.019519 , 10.25 , 8.7376 , 0.3800732 , 0.019497 , 10.21 , 8.7927 , 0.3775746 , 
6 , 0.13265306122449 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , Wallace , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11598 , FMA_unq1 , FMA , 2239 , 46 , 30 , 11294 , 0 , 11598 , 0 , 11423 , 0 , 0 , 11.94 , 0 , 8.34986196902169 , 0.9 , 2285 , svt , 0.019347 , 11.94 , 8.6348 , 0.3662853 , 0.01808170551 , 9.59 , 7.2112 , 0.4550379 , 0.019347 , 11.94 , 8.6348 , 0.3662853 , 0.019239 , 11.92 , 8.8936 , 0.367039 , 
7 , 0.153061224489796 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , ZM , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 15638 , FMA_unq1 , FMA , 2784 , 47 , 30 , 14782 , 0 , 15638 , 0 , 15571 , 0 , 0 , 6.46 , 0 , 4.46639486355453 , 0.9 , 2831 , svt , 0.022099 , 6.46 , 9.4511 , 0.3705386 , 0.020296760681 , 5.12 , 7.8103 , 0.4711487 , 0.022099 , 6.46 , 9.4511 , 0.3705386 , 0.022162 , 6.65 , 9.7036 , 0.3793273 , 
7 , 0.153061224489796 , 48 , svt , 0.8 , OFF , YES , 11 , 2 , OFF , ZM , 52 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12198 , FMA_unq1 , FMA , 2184 , 46 , 30 , 12046 , 0 , 12198 , 0 , 11973 , 0 , 0 , 8.74 , 0 , 6.11212728925045 , 0.9 , 2230 , svt , 0.019904 , 8.74 , 8.6478 , 0.3784113 , 0.018703692006 , 7.00 , 7.2014 , 0.4625335 , 0.019904 , 8.74 , 8.6478 , 0.3784113 , 0.019773 , 8.76 , 8.7588 , 0.3761596 , 
