TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_Multiplier.Multiplier.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.BoothType,TOP.top_Multiplier.Multiplier.MultP.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.TreeType,TOP.top_Multiplier.Multiplier.PartialProductSum.AdderType,TOP.top_Multiplier.Multiplier.UseInc,TOP.top_Multiplier.Multiplier.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
15 , 0.062 , 249 , hvt , 0.8 , OFF , 3 , OFF , Array , DesignWare , NO , 32 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 4182 , Multiplier_unq1 , Multiplier , 743 , 39 , 30 , 4125 , 0 , 4182 , 0 , 3227 , 0 , 0 , 6.56 , 1 , 6.47235660327829 , 0.8 , 782 , hvt , 0.005049 , 6.56 , 1.7326 , 0.023876 , 0.00477073807 , 5.18 , 1.4705 , 0.0315879 , 0.005049 , 6.56 , 1.7326 , 0.023876 , 0.004513 , 6.59 , 1.6676 , 0.0224172 , 
16 , 0.066 , 249 , hvt , 0.8 , OFF , 3 , OFF , Array , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3821 , Multiplier_unq1 , Multiplier , 625 , 39 , 30 , 3838 , 0 , 3821 , 0 , 2839 , 0 , 0 , 5.96 , 1 , 20 , 0.8 , 664 , hvt , 0.004994 , 5.96 , 1.4393 , 0.0243944 , 0.004771620017 , 5.36 , 1.5971 , 0.0357021 , 0.004994 , 5.96 , 1.4393 , 0.0243944 , 0.004444 , 5.95 , 1.3831 , 0.023334 , 
17 , 0.07 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , DesignWare , NO , 32 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 4061 , Multiplier_unq1 , Multiplier , 798 , 39 , 30 , 4013 , 0 , 4061 , 0 , 3189 , 0 , 0 , 6.90 , 1 , 6.86865158930523 , 0.8 , 837 , hvt , 0.005035 , 6.90 , 1.6865 , 0.0235979 , 0.00474092646 , 5.49 , 1.4321 , 0.0329635 , 0.005035 , 6.90 , 1.6865 , 0.0235979 , 0.004568 , 6.92 , 1.6254 , 0.02312 , 
18 , 0.074 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4908 , Multiplier_unq1 , Multiplier , 830 , 38 , 30 , 4993 , 0 , 4908 , 0 , 3912 , 0 , 0 , 3.41 , 1 , 3.41455297624737 , 0.8 , 868 , hvt , 0.005599 , 3.41 , 1.4180 , 0.0222593 , 0.005858244105 , 2.73 , 1.7999 , 0.0431029 , 0.005599 , 3.41 , 1.4180 , 0.0222593 , 0.005077 , 3.41 , 1.3421 , 0.0208325 , 
18 , 0.074 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4290 , Multiplier_unq1 , Multiplier , 719 , 39 , 30 , 4305 , 0 , 4290 , 0 , 3281 , 0 , 0 , 3.82 , 1 , 3.82497058812221 , 0.8 , 758 , hvt , 0.005145 , 3.82 , 1.3271 , 0.0200597 , 0.005178222079 , 3.06 , 1.6310 , 0.0375686 , 0.005145 , 3.82 , 1.3271 , 0.0200597 , 0.004609 , 3.82 , 1.2453 , 0.018684 , 
18 , 0.074 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4138 , Multiplier_unq1 , Multiplier , 683 , 38 , 30 , 4142 , 0 , 4138 , 0 , 3145 , 0 , 0 , 4.05 , 1 , 4.04832362069437 , 0.8 , 721 , hvt , 0.00509 , 4.05 , 1.3319 , 0.0204616 , 0.004982418058 , 3.24 , 1.5869 , 0.0356549 , 0.00509 , 4.05 , 1.3319 , 0.0204616 , 0.00454 , 3.98 , 1.2780 , 0.0197033 , 
18 , 0.074 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3904 , Multiplier_unq1 , Multiplier , 628 , 36 , 30 , 3845 , 0 , 3904 , 0 , 2866 , 0 , 0 , 4.77 , 1 , 4.79972759300504 , 0.8 , 664 , hvt , 0.005049 , 4.77 , 1.4614 , 0.0245734 , 0.004785202817 , 3.83 , 1.5546 , 0.0346734 , 0.005049 , 4.77 , 1.4614 , 0.0245734 , 0.004485 , 4.73 , 1.3891 , 0.0235927 , 
18 , 0.074 , 249 , hvt , 0.8 , OFF , 3 , OFF , OS1 , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3853 , Multiplier_unq1 , Multiplier , 624 , 42 , 30 , 3844 , 0 , 3853 , 0 , 2864 , 0 , 0 , 5.08 , 1 , 20 , 0.8 , 666 , hvt , 0.005035 , 5.08 , 1.4812 , 0.0245356 , 0.004781851217 , 4.44 , 1.5555 , 0.0356714 , 0.005035 , 5.08 , 1.4812 , 0.0245356 , 0.004485 , 5.07 , 1.3982 , 0.023478 , 
21 , 0.086 , 249 , hvt , 0.8 , OFF , 3 , OFF , ZM , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 4714 , Multiplier_unq1 , Multiplier , 780 , 37 , 30 , 4799 , 0 , 4714 , 0 , 3815 , 0 , 0 , 3.50 , 1 , 3.50249172474019 , 0.8 , 817 , hvt , 0.005462 , 3.50 , 1.4124 , 0.0219817 , 0.0056876653 , 2.80 , 1.7676 , 0.0417292 , 0.005462 , 3.50 , 1.4124 , 0.0219817 , 0.00498 , 3.50 , 1.3665 , 0.0206024 , 
21 , 0.086 , 249 , hvt , 0.8 , OFF , 3 , OFF , ZM , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 4370 , Multiplier_unq1 , Multiplier , 758 , 37 , 30 , 4397 , 0 , 4370 , 0 , 3369 , 0 , 0 , 3.75 , 1 , 3.74726275128664 , 0.8 , 795 , hvt , 0.005187 , 3.75 , 1.3567 , 0.020581 , 0.005316872483 , 3.00 , 1.6887 , 0.0387577 , 0.005187 , 3.75 , 1.3567 , 0.020581 , 0.00465 , 3.75 , 1.2938 , 0.0190245 , 
21 , 0.086 , 249 , hvt , 0.8 , OFF , 3 , OFF , ZM , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4208 , Multiplier_unq1 , Multiplier , 718 , 37 , 30 , 4220 , 0 , 4208 , 0 , 3195 , 0 , 0 , 4.01 , 1 , 4.00913955855867 , 0.8 , 755 , hvt , 0.005118 , 4.01 , 1.3550 , 0.0204554 , 0.005105898065 , 3.21 , 1.6267 , 0.0370634 , 0.005118 , 4.01 , 1.3550 , 0.0204554 , 0.004568 , 4.01 , 1.2938 , 0.0193631 , 
21 , 0.086 , 249 , hvt , 0.8 , OFF , 3 , OFF , ZM , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4040 , Multiplier_unq1 , Multiplier , 688 , 39 , 30 , 4041 , 0 , 4040 , 0 , 3040 , 0 , 0 , 4.26 , 1 , 4.28931758107467 , 0.8 , 727 , hvt , 0.005049 , 4.26 , 1.3735 , 0.0216197 , 0.004931614844 , 3.43 , 1.5757 , 0.0353458 , 0.005049 , 4.26 , 1.3735 , 0.0216197 , 0.004499 , 4.29 , 1.3210 , 0.020547 , 
21 , 0.086 , 249 , hvt , 0.8 , OFF , 3 , OFF , ZM , Sklansky , NO , 32 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3908 , Multiplier_unq1 , Multiplier , 673 , 37 , 30 , 3895 , 0 , 3908 , 0 , 2916 , 0 , 0 , 4.58 , 1 , 4.58907579608693 , 0.8 , 710 , hvt , 0.005049 , 4.58 , 1.4547 , 0.0242488 , 0.004830361222 , 3.67 , 1.5631 , 0.0352173 , 0.005049 , 4.58 , 1.4547 , 0.0242488 , 0.004513 , 4.55 , 1.4122 , 0.0232999 , 
