TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 64 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 7234 , MultiplierP_unq1 , MultiplierP , 1402 , 47 , 30 , 7180 , 0 , 7234 , 0 , 7085 , 0 , 0 , 7.51 , 0 , 20 , 0.9 , 1449 , svt , 0.016714 , 7.51 , 8.3969 , 0.3971211 , 0.015830664999 , 6.16 , 7.4807 , 0.4805359 , 0.016714 , 7.51 , 8.3969 , 0.3971211 , 0.016688 , 8.18 , 8.9910 , 0.3995739 , 
4 , 0.0978260869565217 , 45 , svt , 0.8 , 2 , OFF , Array , 64 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 7238 , MultiplierP_unq1 , MultiplierP , 8592 , 47 , 30 , 7180 , 0 , 7238 , 0 , 7056 , 0 , 0 , 7.78 , 0 , 6.26 , 0.9 , 8639 , svt , 0.016714 , 7.78 , 8.3890 , 0.3971367 , 0.015830664999 , 6.11 , 7.4797 , 0.4803338 , 0.016714 , 7.78 , 8.3890 , 0.3971367 , 0.016688 , 7.82 , 8.8399 , 0.3995947 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 9114 , MultiplierP_unq1 , MultiplierP , 2419 , 50 , 30 , 9001 , 0 , 9114 , 0 , 10748 , 0 , 0 , 1.98 , 0 , 1.37079447188057 , 0.9 , 2469 , svt , 0.018723 , 1.98 , 8.2216 , 0.4694399 , 0.017276792389 , 1.58 , 6.5222 , 0.5068264 , 0.018723 , 1.98 , 8.2216 , 0.4694399 , 0.019727 , 2.10 , 9.0039 , 0.4857464 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7894 , MultiplierP_unq1 , MultiplierP , 2489 , 51 , 30 , 7774 , 0 , 7894 , 0 , 9884 , 0 , 0 , 2.11 , 0 , 1.46802928448308 , 0.9 , 2540 , svt , 0.017822 , 2.11 , 7.9120 , 0.4483125 , 0.016505042272 , 1.69 , 6.3856 , 0.4998592 , 0.017822 , 2.11 , 7.9120 , 0.4483125 , 0.019032 , 2.19 , 8.8227 , 0.4692682 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7279 , MultiplierP_unq1 , MultiplierP , 2067 , 50 , 30 , 7188 , 0 , 7279 , 0 , 8835 , 0 , 0 , 2.24 , 0 , 1.57216127166266 , 0.9 , 2117 , svt , 0.017332 , 2.24 , 7.7029 , 0.4350183 , 0.015995599003 , 1.81 , 6.2719 , 0.4890398 , 0.017332 , 2.24 , 7.7029 , 0.4350183 , 0.018182 , 2.27 , 8.3880 , 0.4426383 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7217 , MultiplierP_unq1 , MultiplierP , 1938 , 50 , 30 , 7125 , 0 , 7217 , 0 , 8203 , 0 , 0 , 2.40 , 0 , 1.68367967195305 , 0.9 , 1988 , svt , 0.0171 , 2.40 , 7.5866 , 0.4214776 , 0.015853949798 , 1.93 , 6.1898 , 0.4828829 , 0.0171 , 2.40 , 7.5866 , 0.4214776 , 0.01759 , 2.41 , 8.1132 , 0.425083 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7191 , MultiplierP_unq1 , MultiplierP , 1796 , 50 , 30 , 7119 , 0 , 7191 , 0 , 7659 , 0 , 0 , 2.55 , 0 , 1.80310842713354 , 0.9 , 1846 , svt , 0.017023 , 2.55 , 7.5234 , 0.4164156 , 0.015815318197 , 2.07 , 6.1632 , 0.4806525 , 0.017023 , 2.55 , 7.5234 , 0.4164156 , 0.017152 , 2.58 , 7.8893 , 0.4116608 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7179 , MultiplierP_unq1 , MultiplierP , 1650 , 51 , 30 , 7119 , 0 , 7179 , 0 , 7468 , 0 , 0 , 2.70 , 0 , 1.93100864384058 , 0.9 , 1701 , svt , 0.01692 , 2.70 , 7.4525 , 0.4085924 , 0.015815141797 , 2.12 , 6.1634 , 0.4806714 , 0.01692 , 2.70 , 7.4525 , 0.4085924 , 0.016997 , 2.75 , 7.8472 , 0.4090498 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 7180 , MultiplierP_unq1 , MultiplierP , 1587 , 51 , 30 , 7119 , 0 , 7180 , 0 , 7323 , 0 , 0 , 2.83 , 0 , 2.06798122978927 , 0.9 , 1638 , svt , 0.016817 , 2.83 , 7.4352 , 0.4029368 , 0.015815141797 , 2.12 , 6.1634 , 0.4806871 , 0.016817 , 2.83 , 7.4352 , 0.4029368 , 0.016894 , 2.92 , 7.7353 , 0.4063705 , 
5 , 0.119565217391304 , 45 , svt , 0.8 , 2 , OFF , OS1 , 64 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 7175 , MultiplierP_unq1 , MultiplierP , 1542 , 50 , 30 , 7119 , 0 , 7175 , 0 , 7205 , 0 , 0 , 3.31 , 0 , 2.37176328522811 , 0.9 , 1592 , svt , 0.016714 , 3.31 , 7.4425 , 0.3970912 , 0.015815141797 , 2.12 , 6.1638 , 0.4807023 , 0.016714 , 3.31 , 7.4425 , 0.3970912 , 0.016791 , 3.36 , 7.7852 , 0.4017936 , 
