TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 332 , 32 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.14 , 1 , 1.23587222305143 , 0.9 , 364 , svt , 0.000535 , 1.14 , 0.1638832 , 0.0152403 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.14 , 0.1638832 , 0.0152403 , 0.000535 , 1.21 , 0.1673708 , 0.0152526 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 402 , 31 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.14 , 1 , 1.25365763799235 , 0.9 , 433 , svt , 0.000535 , 1.14 , 0.164126 , 0.015242 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.14 , 0.164126 , 0.015242 , 0.000535 , 1.24 , 0.1675085 , 0.0152398 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 274 , 33 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.15 , 1 , 1.24770090788457 , 0.9 , 307 , svt , 0.000535 , 1.15 , 0.1641897 , 0.0152403 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.15 , 0.1641897 , 0.0152403 , 0.000535 , 1.24 , 0.1676569 , 0.0152421 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 278 , 33 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.16 , 1 , 1.24177248106511 , 0.9 , 311 , svt , 0.000535 , 1.16 , 0.1641289 , 0.0152461 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.16 , 0.1641289 , 0.0152461 , 0.000535 , 1.20 , 0.168851 , 0.015255 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 283 , 32 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.17 , 1 , 1.27777030349315 , 0.9 , 315 , svt , 0.000535 , 1.17 , 0.1636429 , 0.0152245 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.17 , 0.1636429 , 0.0152245 , 0.000535 , 1.22 , 0.1676521 , 0.0152398 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 281 , 32 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.17 , 1 , 1.26565654921625 , 0.9 , 313 , svt , 0.000535 , 1.17 , 0.1637542 , 0.0152245 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.17 , 0.1637542 , 0.0152245 , 0.000535 , 1.23 , 0.1678995 , 0.0152398 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 294 , 32 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.17 , 1 , 1.25964280651302 , 0.9 , 326 , svt , 0.000535 , 1.17 , 0.1638615 , 0.0152339 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.17 , 0.1638615 , 0.0152339 , 0.000535 , 1.23 , 0.1679579 , 0.0152398 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 341 , 33 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.18 , 1 , 1.27169900251991 , 0.9 , 374 , svt , 0.000535 , 1.18 , 0.1636175 , 0.0152245 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.18 , 0.1636175 , 0.0152245 , 0.000535 , 1.23 , 0.1675359 , 0.0152421 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 299 , MultiplierP_unq1 , MultiplierP , 344 , 32 , 30 , 299 , 0 , 299 , 0 , 299 , 0 , 0 , 1.18 , 1 , 1.28387058985949 , 0.9 , 376 , svt , 0.000535 , 1.18 , 0.163956 , 0.0152236 , 0.000505209595 , 0.95 , 0.1338231 , 0.0168688 , 0.000535 , 1.18 , 0.163956 , 0.0152236 , 0.000535 , 1.20 , 0.1678015 , 0.0152422 , 
1 , 0.09375 , 15 , 1 , OFF , OS1 , 11 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 297 , MultiplierP_unq1 , MultiplierP , 296 , 33 , 30 , 297 , 0 , 297 , 0 , 297 , 0 , 0 , 1.29 , 1 , 20 , 0.9 , 329 , svt , 0.000531 , 1.29 , 0.1651031 , 0.0152776 , 0.000504503995 , 0.93 , 0.1341343 , 0.017012 , 0.000531 , 1.29 , 0.1651031 , 0.0152776 , 0.000531 , 1.34 , 0.168186 , 0.0152776 , 
