design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.36, 1.72, 1.69, 11186.229515, 12336, 12183, 4.3195, 5.6595, 5.1564, 0.720771, 0.6503752, 0.6041115
lvt_1000, lvt, 0.9, 1.01, 1.29, 1.25, 11186.229515, 12336, 12183, 5.4403, 7.1441, 6.5051, 0.9922266, 0.8932529, 0.8285078
lvt_1000, lvt, 1.0, 0.80, 1.04, 1.01, 11186.229515, 12336, 12183, 6.7386, 8.8564, 8.0604, 1.3484, 1.2112, 1.1218
lvt_1100, lvt, 0.8, 1.49, 1.88, 1.85, 10923.393479, 11789, 11811, 4.2580, 5.3259, 4.9967, 0.7153123, 0.6089963, 0.5872977
lvt_1100, lvt, 0.9, 1.10, 1.40, 1.38, 10923.393479, 11789, 11811, 5.3604, 6.7178, 6.3008, 0.9846743, 0.8354471, 0.8050735
lvt_1100, lvt, 1.0, 0.88, 1.13, 1.10, 10923.393479, 11789, 11811, 6.6379, 8.3233, 7.8055, 1.3381, 1.1314, 1.0895
lvt_1200, lvt, 0.8, 1.62, 2.01, 2.01, 10814.731069, 11571, 11549, 4.2155, 5.2339, 4.9222, 0.7077982, 0.5969397, 0.5839869
lvt_1200, lvt, 0.9, 1.20, 1.51, 1.50, 10814.731069, 11571, 11549, 5.3049, 6.6011, 6.2064, 0.9741625, 0.8186142, 0.8005011
lvt_1200, lvt, 1.0, 0.96, 1.21, 1.20, 10814.731069, 11571, 11549, 6.5666, 8.1792, 7.6902, 1.3235, 1.1082, 1.0832
lvt_590, lvt, 0.8, 1.21, 1.40, 1.33, 13487.544196, 17914, 16995, 4.9232, 7.7351, 6.9385, 0.7995618, 1.1185, 1.0371
lvt_590, lvt, 0.9, 0.89, 1.04, 0.99, 13487.544196, 17914, 16995, 6.2234, 9.7967, 8.7886, 1.1012, 1.5473, 1.4336
lvt_590, lvt, 1.0, 0.70, 0.85, 0.80, 13487.544196, 17914, 16995, 7.7310, 12.1880, 10.9385, 1.4975, 2.1136, 1.9569
lvt_650, lvt, 0.8, 1.20, 1.46, 1.35, 13674.528187, 18311, 16776, 4.9645, 7.8451, 7.0434, 0.821425, 1.1278, 1.0035
lvt_650, lvt, 0.9, 0.88, 1.09, 1.01, 13674.528187, 18311, 16776, 6.2743, 9.9370, 8.9198, 1.1316, 1.5606, 1.3867
lvt_650, lvt, 1.0, 0.70, 0.88, 0.81, 13674.528187, 18311, 16776, 7.7923, 12.3655, 11.0984, 1.5393, 2.1322, 1.8920
lvt_700, lvt, 0.8, 1.20, 1.46, 1.32, 13585.093361, 18570, 17280, 4.9886, 7.9314, 7.1905, 0.8166284, 1.1320, 1.0099
lvt_700, lvt, 0.9, 0.88, 1.09, 0.98, 13585.093361, 18570, 17280, 6.3027, 10.0445, 9.0995, 1.1249, 1.5660, 1.3946
lvt_700, lvt, 1.0, 0.70, 0.87, 0.79, 13585.093361, 18570, 17280, 7.8253, 12.4959, 11.3115, 1.5300, 2.1392, 1.9016
lvt_800, lvt, 0.8, 1.20, 1.43, 1.36, 12631.651292, 16295, 14436, 4.7008, 7.1044, 6.0451, 0.7618887, 0.9198586, 0.7456293
lvt_800, lvt, 0.9, 0.89, 1.06, 1.01, 12631.651292, 16295, 14436, 5.9358, 8.9885, 7.6418, 1.0490, 1.2682, 1.0253
lvt_800, lvt, 1.0, 0.70, 0.85, 0.81, 12631.651292, 16295, 14436, 7.3671, 11.1665, 9.4838, 1.4262, 1.7265, 1.3920
lvt_900, lvt, 0.8, 1.23, 1.61, 1.53, 11993.436012, 13299, 12796, 4.5616, 6.1254, 5.3700, 0.7628035, 0.7035718, 0.6405219
lvt_900, lvt, 0.9, 0.90, 1.20, 1.13, 11993.436012, 13299, 12796, 5.7561, 7.7415, 6.7816, 1.0509, 0.967421, 0.8794243
lvt_900, lvt, 1.0, 0.72, 0.97, 0.91, 11993.436012, 13299, 12796, 7.1424, 9.6056, 8.4100, 1.4293, 1.3133, 1.1921
