design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_590, lvt, 0.8, 0.98, 1.16, 1.12, 13883.562191, 19555, 18548, 5.0658, 8.2877, 7.6665, 0.8430215, 1.2161, 1.1274
lvt_590, lvt, 0.9, 0.72, 0.88, 0.84, 13883.562191, 19555, 18548, 6.4007, 10.4877, 9.7016, 1.1617, 1.6834, 1.5593
lvt_590, lvt, 1.0, 0.57, 0.71, 0.68, 13883.562191, 19555, 18548, 7.9469, 13.0313, 12.0587, 1.5807, 2.3011, 2.1297
lvt_650, lvt, 0.8, 0.97, 1.19, 1.15, 13863.628963, 20456, 18627, 5.1087, 8.5923, 7.7506, 0.8597834, 1.2791, 1.0918
lvt_650, lvt, 0.9, 0.72, 0.89, 0.85, 13863.628963, 20456, 18627, 6.4534, 10.8740, 9.8033, 1.1853, 1.7713, 1.5089
lvt_650, lvt, 1.0, 0.57, 0.73, 0.69, 13863.628963, 20456, 18627, 8.0113, 13.5146, 12.1762, 1.6135, 2.4222, 2.0593
lvt_700, lvt, 0.8, 0.97, 1.27, 1.20, 13473.608525, 17431, 15579, 4.9768, 7.6712, 6.6266, 0.8338247, 1.0093, 0.8519861
lvt_700, lvt, 0.9, 0.71, 0.95, 0.89, 13473.608525, 17431, 15579, 6.2855, 9.7013, 8.3763, 1.1492, 1.3926, 1.1734
lvt_700, lvt, 1.0, 0.56, 0.76, 0.71, 13473.608525, 17431, 15579, 7.8028, 12.0417, 10.3933, 1.5640, 1.8973, 1.5957
lvt_800, lvt, 0.8, 1.10, 1.42, 1.35, 11579.954373, 13386, 13255, 4.4248, 6.1477, 5.6411, 0.7334223, 0.7169686, 0.6649367
lvt_800, lvt, 0.9, 0.81, 1.06, 1.00, 11579.954373, 13386, 13255, 5.5784, 7.7665, 7.1234, 1.0099, 0.9858353, 0.9132257
lvt_800, lvt, 1.0, 0.64, 0.86, 0.81, 11579.954373, 13386, 13255, 6.9149, 9.6319, 8.8301, 1.3729, 1.3383, 1.2383
lvt_900, lvt, 0.8, 1.22, 1.58, 1.52, 10906.459071, 12271, 12358, 4.2670, 5.6858, 5.2886, 0.7159202, 0.655506, 0.6145061
lvt_900, lvt, 0.9, 0.90, 1.18, 1.13, 10906.459071, 12271, 12358, 5.3711, 7.1747, 6.6713, 0.9855526, 0.9003197, 0.8429152
lvt_900, lvt, 1.0, 0.72, 0.95, 0.90, 10906.459071, 12271, 12358, 6.6501, 8.8903, 8.2638, 1.3393, 1.2208, 1.1415
