design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.36, 1.75, 1.68, 11718.428473, 13091, 12780, 3.6705, 5.3659, 4.7687, 0.6068894, 0.5355995, 0.490209
lvt_1000, lvt, 0.9, 1.00, 1.30, 1.25, 11718.428473, 13091, 12780, 4.6250, 6.7850, 6.0283, 0.8348723, 0.7336013, 0.670272
lvt_1000, lvt, 1.0, 0.80, 1.05, 1.01, 11718.428473, 13091, 12780, 5.7301, 8.4234, 7.4847, 1.1340, 0.9921839, 0.9049724
lvt_1100, lvt, 0.8, 1.48, 1.88, 1.83, 11456.827208, 12580, 12780, 3.6930, 5.0422, 4.7193, 0.616019, 0.5001118, 0.4722211
lvt_1100, lvt, 0.9, 1.10, 1.41, 1.37, 11456.827208, 12580, 12780, 4.6476, 6.3658, 5.9596, 0.8472578, 0.6843453, 0.6451739
lvt_1100, lvt, 1.0, 0.88, 1.14, 1.10, 11456.827208, 12580, 12780, 5.7549, 7.8928, 7.3920, 1.1505, 0.9246287, 0.8703953
lvt_1200, lvt, 0.8, 1.60, 2.06, 2.00, 11425.604408, 12380, 12491, 3.6796, 5.0701, 4.5738, 0.6095009, 0.4944265, 0.4605074
lvt_1200, lvt, 0.9, 1.20, 1.54, 1.49, 11425.604408, 12380, 12491, 4.6327, 6.4028, 5.7754, 0.8380812, 0.6763517, 0.6289744
lvt_1200, lvt, 1.0, 0.96, 1.23, 1.20, 11425.604408, 12380, 12491, 5.7398, 7.9416, 7.1649, 1.1378, 0.913519, 0.8482469
lvt_590, lvt, 0.8, 0.99, 1.29, 1.27, 18150.325542, 24315, 22759, 5.2795, 8.7240, 7.9914, 0.997298, 1.3378, 1.2345
lvt_590, lvt, 0.9, 0.73, 0.98, 0.95, 18150.325542, 24315, 22759, 6.6692, 11.0446, 10.1127, 1.3771, 1.8518, 1.7075
lvt_590, lvt, 1.0, 0.59, 0.81, 0.76, 18150.325542, 24315, 22759, 8.2788, 13.7311, 12.5692, 1.8778, 2.5315, 2.3323
lvt_650, lvt, 0.8, 1.00, 1.31, 1.23, 17200.058713, 22648, 21581, 5.0975, 8.4590, 7.8882, 0.936106, 1.2150, 1.1590
lvt_650, lvt, 0.9, 0.74, 0.98, 0.92, 17200.058713, 22648, 21581, 6.4391, 10.7079, 9.9805, 1.2918, 1.6798, 1.6018
lvt_650, lvt, 1.0, 0.59, 0.80, 0.74, 17200.058713, 22648, 21581, 7.9928, 13.3097, 12.3993, 1.7606, 2.2934, 2.1863
lvt_800, lvt, 0.8, 1.09, 1.43, 1.37, 14476.266247, 17870, 16358, 4.3049, 6.9140, 5.7664, 0.7376619, 0.8093717, 0.6673326
lvt_800, lvt, 0.9, 0.80, 1.06, 1.01, 14476.266247, 17870, 16358, 5.4381, 8.7496, 7.2900, 1.0164, 1.1136, 0.9154011
lvt_800, lvt, 1.0, 0.64, 0.86, 0.81, 14476.266247, 17870, 16358, 6.7529, 10.8673, 9.0426, 1.3831, 1.5133, 1.2401
lvt_900, lvt, 0.8, 1.22, 1.67, 1.53, 12394.746145, 14224, 13669, 3.8581, 5.7532, 5.1300, 0.6374504, 0.5962957, 0.5540605
lvt_900, lvt, 0.9, 0.90, 1.23, 1.14, 12394.746145, 14224, 13669, 4.8693, 7.2821, 6.4874, 0.8775695, 0.8180151, 0.7592023
lvt_900, lvt, 1.0, 0.72, 0.98, 0.91, 12394.746145, 14224, 13669, 6.0421, 9.0496, 8.0548, 1.1930, 1.1082, 1.0273
