design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.36, 1.80, 1.69, 12226.284114, 13558, 13158, 3.8375, 5.6630, 4.8141, 0.6344507, 0.5672252, 0.5044557
lvt_1000, lvt, 0.9, 1.00, 1.33, 1.26, 12226.284114, 13558, 13158, 4.8395, 7.1653, 6.0864, 0.8732117, 0.7776643, 0.6902111
lvt_1000, lvt, 1.0, 0.80, 1.07, 1.01, 12226.284114, 13558, 13158, 6.0003, 8.9008, 7.5570, 1.1867, 1.0528, 0.9325464
lvt_1100, lvt, 0.8, 1.49, 1.93, 1.86, 11729.188858, 13002, 12669, 3.7144, 5.3080, 4.6089, 0.6167584, 0.5258376, 0.474886
lvt_1100, lvt, 0.9, 1.10, 1.45, 1.38, 11729.188858, 13002, 12669, 4.6782, 6.7103, 5.8221, 0.8483619, 0.7201269, 0.649041
lvt_1100, lvt, 1.0, 0.88, 1.17, 1.11, 11729.188858, 13002, 12669, 5.7948, 8.3303, 7.2246, 1.1522, 0.9738105, 0.8759211
lvt_1200, lvt, 0.8, 1.62, 2.06, 2.02, 11548.026024, 12535, 12491, 3.7130, 5.1614, 4.5381, 0.6194987, 0.5117935, 0.4724343
lvt_1200, lvt, 0.9, 1.20, 1.55, 1.51, 11548.026024, 12535, 12491, 4.6733, 6.5193, 5.7292, 0.8520677, 0.7004934, 0.6456191
lvt_1200, lvt, 1.0, 0.96, 1.25, 1.21, 11548.026024, 12535, 12491, 5.7868, 8.0876, 7.1073, 1.1571, 0.9466552, 0.8711628
lvt_590, lvt, 0.8, 1.09, 1.41, 1.35, 17063.701500, 22693, 20937, 5.2840, 8.4944, 7.5008, 0.9413404, 1.2685, 1.1307
lvt_590, lvt, 0.9, 0.81, 1.06, 1.01, 17063.701500, 22693, 20937, 6.6773, 10.7630, 9.4966, 1.2988, 1.7562, 1.5630
lvt_590, lvt, 1.0, 0.64, 0.86, 0.81, 17063.701500, 22693, 20937, 8.2933, 13.4000, 11.8137, 1.7698, 2.4011, 2.1337
lvt_650, lvt, 0.8, 1.12, 1.44, 1.34, 15980.252678, 22115, 20537, 4.9663, 8.3780, 7.3429, 0.8733206, 1.2135, 1.0992
lvt_650, lvt, 0.9, 0.83, 1.09, 1.00, 15980.252678, 22115, 20537, 6.2766, 10.6140, 9.2966, 1.2046, 1.6789, 1.5195
lvt_650, lvt, 1.0, 0.66, 0.89, 0.81, 15980.252678, 22115, 20537, 7.7972, 13.2072, 11.5617, 1.6408, 2.2937, 2.0746
lvt_700, lvt, 0.8, 1.12, 1.40, 1.42, 16052.047474, 22004, 20915, 4.9630, 8.4061, 7.3635, 0.8712876, 1.1817, 1.0692
lvt_700, lvt, 0.9, 0.83, 1.05, 1.08, 16052.047474, 22004, 20915, 6.2713, 10.6421, 9.3210, 1.2021, 1.6338, 1.4770
lvt_700, lvt, 1.0, 0.66, 0.85, 0.89, 16052.047474, 22004, 20915, 7.7890, 13.2302, 11.5898, 1.6379, 2.2308, 2.0148
lvt_800, lvt, 0.8, 1.13, 1.40, 1.36, 15687.075858, 19692, 18692, 4.7848, 7.7640, 6.6886, 0.8250681, 0.9587795, 0.8470496
lvt_800, lvt, 0.9, 0.83, 1.04, 1.01, 15687.075858, 19692, 18692, 6.0459, 9.8235, 8.4610, 1.1372, 1.3210, 1.1653
lvt_800, lvt, 1.0, 0.66, 0.84, 0.81, 15687.075858, 19692, 18692, 7.5091, 12.1982, 10.5070, 1.5479, 1.7974, 1.5832
lvt_900, lvt, 0.8, 1.23, 1.56, 1.54, 13492.483395, 16003, 14869, 4.1083, 6.3190, 5.3766, 0.6915243, 0.6980095, 0.5979366
lvt_900, lvt, 0.9, 0.91, 1.16, 1.14, 13492.483395, 16003, 14869, 5.1877, 7.9963, 6.7994, 0.9522985, 0.9586531, 0.8193402
lvt_900, lvt, 1.0, 0.72, 0.94, 0.91, 13492.483395, 16003, 14869, 6.4399, 9.9325, 8.4414, 1.2950, 1.3002, 1.1088
