design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_590, lvt, 0.8, 0.85, 1.07, 1.04, 15715.829049, 25126, 20706, 5.8406, 10.3835, 8.7340, 0.9946578, 1.5889, 1.2423
lvt_590, lvt, 0.9, 0.63, 0.79, 0.78, 15715.829049, 25126, 20706, 7.3809, 13.1388, 11.0463, 1.3730, 2.2013, 1.7169
lvt_590, lvt, 1.0, 0.50, 0.64, 0.62, 15715.829049, 25126, 20706, 9.1669, 16.3246, 13.7142, 1.8716, 3.0116, 2.3429
lvt_650, lvt, 0.8, 0.89, 1.21, 1.14, 13380.116555, 16992, 16258, 5.0307, 7.7362, 7.1123, 0.8255042, 0.9880627, 0.9114833
lvt_650, lvt, 0.9, 0.65, 0.90, 0.85, 13380.116555, 16992, 16258, 6.3565, 9.7868, 8.9952, 1.1378, 1.3634, 1.2564
lvt_650, lvt, 1.0, 0.52, 0.73, 0.68, 13380.116555, 16992, 16258, 7.8948, 12.1503, 11.1660, 1.5483, 1.8576, 1.7100
lvt_700, lvt, 0.8, 0.95, 1.26, 1.23, 12294.021670, 14713, 14336, 4.6728, 6.7251, 6.3433, 0.7571776, 0.8205096, 0.771321
lvt_700, lvt, 0.9, 0.70, 0.93, 0.91, 12294.021670, 14713, 14336, 5.8993, 8.5050, 8.0198, 1.0427, 1.1302, 1.0615
lvt_700, lvt, 1.0, 0.56, 0.75, 0.73, 12294.021670, 14713, 14336, 7.3210, 10.5566, 9.9520, 1.4178, 1.5373, 1.4423
lvt_800, lvt, 0.8, 1.08, 1.38, 1.35, 11046.167876, 12846, 13335, 4.3785, 6.0558, 5.8245, 0.7255336, 0.7042621, 0.6762628
lvt_800, lvt, 0.9, 0.80, 1.03, 1.01, 11046.167876, 12846, 13335, 5.5123, 7.6428, 7.3508, 0.9988611, 0.9682424, 0.9289098
lvt_800, lvt, 1.0, 0.64, 0.83, 0.81, 11046.167876, 12846, 13335, 6.8256, 9.4706, 9.1069, 1.3575, 1.3142, 1.2598
