design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.42, 0.53, 0.51, 738.410411, 669, 663, 0.1611896, 0.1669539, 0.1559134, 0.0469371, 0.0330433, 0.0315175
lvt_300, lvt, 0.9, 0.31, 0.39, 0.38, 738.410411, 669, 663, 0.2036663, 0.2108902, 0.1968373, 0.0648796, 0.0454612, 0.0433157
lvt_300, lvt, 1.0, 0.25, 0.31, 0.31, 738.410411, 669, 663, 0.2529572, 0.2613245, 0.2437833, 0.0885685, 0.0617675, 0.058791
lvt_350, lvt, 0.8, 0.48, 0.61, 0.59, 545.958007, 557, 552, 0.1316779, 0.1458126, 0.1341515, 0.0324199, 0.0251283, 0.0235494
lvt_350, lvt, 0.9, 0.35, 0.46, 0.44, 545.958007, 557, 552, 0.166457, 0.1842533, 0.1693514, 0.0446989, 0.0345056, 0.0322878
lvt_350, lvt, 1.0, 0.28, 0.37, 0.35, 545.958007, 557, 552, 0.2068518, 0.2284272, 0.2096998, 0.0608535, 0.0467917, 0.043717
lvt_400, lvt, 0.8, 0.54, 0.68, 0.68, 479.102397, 503, 481, 0.1201193, 0.1343753, 0.1291838, 0.0300599, 0.0234657, 0.0229562
lvt_400, lvt, 0.9, 0.40, 0.50, 0.51, 479.102397, 503, 481, 0.1511745, 0.1693918, 0.1627989, 0.0414061, 0.0321598, 0.0314549
lvt_400, lvt, 1.0, 0.32, 0.40, 0.41, 479.102397, 503, 481, 0.1870463, 0.2096234, 0.201489, 0.05631, 0.0435176, 0.0425527
lvt_450, lvt, 0.8, 0.59, 0.76, 0.75, 452.995196, 481, 475, 0.1145547, 0.135514, 0.1248797, 0.0278135, 0.0227656, 0.0214838
lvt_450, lvt, 0.9, 0.44, 0.57, 0.56, 452.995196, 481, 475, 0.1441636, 0.1708902, 0.1574453, 0.0382821, 0.0311909, 0.0294033
lvt_450, lvt, 1.0, 0.35, 0.46, 0.45, 452.995196, 481, 475, 0.1783723, 0.211583, 0.1949812, 0.052019, 0.0421911, 0.0397297
lvt_500, lvt, 0.8, 0.65, 0.85, 0.85, 454.582799, 481, 481, 0.1084465, 0.124528, 0.1301768, 0.0242775, 0.0188127, 0.0238918
lvt_500, lvt, 0.9, 0.48, 0.63, 0.63, 454.582799, 481, 481, 0.1365671, 0.1571033, 0.1642184, 0.0333388, 0.0256753, 0.0327945
lvt_500, lvt, 1.0, 0.39, 0.50, 0.50, 454.582799, 481, 481, 0.1690351, 0.1945836, 0.2034357, 0.0452025, 0.0345988, 0.0444447
lvt_600, lvt, 0.8, 0.68, 0.87, 0.90, 455.288399, 481, 481, 0.1073034, 0.1332637, 0.1297432, 0.0240896, 0.0237044, 0.0237044
lvt_600, lvt, 0.9, 0.50, 0.65, 0.67, 455.288399, 481, 481, 0.1351315, 0.1681401, 0.1636942, 0.0330759, 0.0325322, 0.0325322
lvt_600, lvt, 1.0, 0.40, 0.52, 0.53, 455.288399, 481, 481, 0.1672513, 0.2082658, 0.202801, 0.0448401, 0.0440831, 0.0440831
