design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.45, 0.52, 0.51, 711.950412, 694, 688, 0.1645926, 0.1815682, 0.1683605, 0.0455105, 0.0353085, 0.0334162
lvt_300, lvt, 0.9, 0.33, 0.39, 0.38, 711.950412, 694, 688, 0.2079301, 0.2293635, 0.2126229, 0.0628875, 0.0485846, 0.0459233
lvt_300, lvt, 1.0, 0.26, 0.31, 0.30, 711.950412, 694, 688, 0.2581644, 0.2842261, 0.2634311, 0.0858163, 0.0660182, 0.0623261
lvt_350, lvt, 0.8, 0.48, 0.61, 0.60, 561.481208, 563, 557, 0.1362681, 0.1514701, 0.1414703, 0.0326792, 0.0253127, 0.0241337
lvt_350, lvt, 0.9, 0.35, 0.45, 0.44, 561.481208, 563, 557, 0.1720269, 0.1912367, 0.1785569, 0.0450246, 0.0347189, 0.0330821
lvt_350, lvt, 1.0, 0.28, 0.35, 0.35, 561.481208, 563, 557, 0.213357, 0.236773, 0.2210231, 0.0612574, 0.0470284, 0.0447848
lvt_400, lvt, 0.8, 0.54, 0.68, 0.68, 473.633997, 503, 486, 0.121211, 0.1419017, 0.1301703, 0.0291504, 0.0234204, 0.0222965
lvt_400, lvt, 0.9, 0.40, 0.51, 0.51, 473.633997, 503, 486, 0.1525269, 0.1788797, 0.1639733, 0.0401437, 0.0320985, 0.0305206
lvt_400, lvt, 1.0, 0.32, 0.41, 0.41, 473.633997, 503, 486, 0.1886684, 0.2213138, 0.2028071, 0.0545816, 0.043436, 0.041249
lvt_450, lvt, 0.8, 0.61, 0.75, 0.77, 452.113197, 481, 476, 0.1177014, 0.136347, 0.1289952, 0.0275621, 0.0214338, 0.0215416
lvt_450, lvt, 0.9, 0.45, 0.56, 0.57, 452.113197, 481, 476, 0.1481352, 0.1718564, 0.1625863, 0.0379309, 0.0293125, 0.0294739
lvt_450, lvt, 1.0, 0.36, 0.45, 0.45, 452.113197, 481, 476, 0.1833056, 0.2126454, 0.2012634, 0.0515359, 0.039578, 0.0398145
lvt_500, lvt, 0.8, 0.67, 0.83, 0.85, 458.463599, 486, 486, 0.1114102, 0.1287726, 0.1240158, 0.0243531, 0.0186743, 0.0186141
lvt_500, lvt, 0.9, 0.49, 0.62, 0.63, 458.463599, 486, 486, 0.1402754, 0.162396, 0.1564092, 0.0334392, 0.0254651, 0.0253862
lvt_500, lvt, 1.0, 0.39, 0.50, 0.50, 458.463599, 486, 486, 0.1735722, 0.201002, 0.1936687, 0.0453366, 0.0342886, 0.0341867
lvt_600, lvt, 0.8, 0.82, 0.92, 0.95, 461.991599, 481, 481, 0.1139753, 0.1291962, 0.1230914, 0.0250429, 0.0184776, 0.0184123
lvt_600, lvt, 0.9, 0.60, 0.67, 0.71, 461.991599, 481, 481, 0.1436107, 0.1630162, 0.155291, 0.0344169, 0.0251984, 0.0251029
lvt_600, lvt, 1.0, 0.48, 0.54, 0.56, 461.991599, 481, 481, 0.1778615, 0.2019105, 0.1923708, 0.0467032, 0.0339307, 0.0337936
