design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.37, 1.82, 1.73, 49994.052626, 64375, 64647, 21.3258, 32.5954, 33.4438, 3.3110, 3.4747, 3.4000
lvt_1000, lvt, 0.9, 1.01, 1.35, 1.29, 49994.052626, 64375, 64647, 26.8582, 41.1898, 42.2640, 4.5584, 4.7810, 4.6755
lvt_1000, lvt, 1.0, 0.80, 1.09, 1.04, 49994.052626, 64375, 64647, 33.2758, 51.0936, 52.4173, 6.1950, 6.4949, 6.3481
lvt_1100, lvt, 0.8, 1.48, 1.98, 1.91, 49087.180150, 56623, 58935, 20.7737, 29.1507, 30.8007, 3.2355, 3.0412, 3.0674
lvt_1100, lvt, 0.9, 1.10, 1.47, 1.43, 49087.180150, 56623, 58935, 26.1431, 36.8032, 38.9100, 4.4528, 4.1769, 4.2131
lvt_1100, lvt, 1.0, 0.88, 1.19, 1.15, 49087.180150, 56623, 58935, 32.3631, 45.6306, 48.2566, 6.0491, 5.6633, 5.7131
lvt_800, lvt, 0.8, 1.10, 1.57, 1.43, 63576.148386, 94024, 102266, 25.2953, 46.8669, 49.0671, 3.9912, 6.1411, 6.5801
lvt_800, lvt, 0.9, 0.81, 1.19, 1.07, 63576.148386, 94024, 102266, 31.9739, 59.3631, 62.1486, 5.5044, 8.5069, 9.1197
lvt_800, lvt, 1.0, 0.64, 0.97, 0.87, 63576.148386, 94024, 102266, 39.7283, 73.8387, 77.3206, 7.4960, 11.6358, 12.4811
lvt_850, lvt, 0.8, 1.16, 1.68, 1.51, 56493.158844, 84866, 83144, 23.0467, 42.2786, 41.3586, 3.5032, 5.6187, 5.1021
lvt_850, lvt, 0.9, 0.86, 1.28, 1.13, 56493.158844, 84866, 83144, 29.1101, 53.5884, 52.3705, 4.8254, 7.7842, 7.0553
lvt_850, lvt, 1.0, 0.68, 1.04, 0.91, 56493.158844, 84866, 83144, 36.1471, 66.7368, 65.1205, 6.5622, 10.6484, 9.6335
lvt_900, lvt, 0.8, 1.23, 1.66, 1.60, 53271.388734, 87405, 74621, 22.1721, 42.5076, 38.3803, 3.3842, 5.5234, 4.3451
lvt_900, lvt, 0.9, 0.91, 1.24, 1.19, 53271.388734, 87405, 74621, 27.9692, 53.8311, 48.5788, 4.6601, 7.6453, 5.9965
lvt_900, lvt, 1.0, 0.72, 1.03, 0.96, 53271.388734, 87405, 74621, 34.6906, 66.9656, 60.3756, 6.3350, 10.4490, 8.1711
lvt_950, lvt, 0.8, 1.29, 1.67, 1.63, 51059.685104, 77567, 69996, 21.8197, 38.0550, 36.2078, 3.3997, 4.3546, 3.8341
lvt_950, lvt, 0.9, 0.95, 1.25, 1.22, 51059.685104, 77567, 69996, 27.4901, 48.1132, 45.7718, 4.6821, 6.0073, 5.2807
lvt_950, lvt, 1.0, 0.76, 1.01, 0.99, 51059.685104, 77567, 69996, 34.0688, 59.7098, 56.7826, 6.3655, 8.1831, 7.1812
