design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt,1,0.8,1.1,1.01,49813.77179,65211,57401,33.5557,51.228,46.9914,6.1975,6.6009,6.5107
lvt_1100, lvt,1,0.88,1.23,1.11,49030.02655,57308,55321,32.6046,46.2273,44.5711,6.0502,5.768,5.9572
lvt_1200, lvt,1,0.89,1.35,1.21,48979.04695,53426,53611,32.5952,44.2626,42.639,6.0445,5.4554,5.4757
lvt_750, lvt,1,0.63,0.92,0.97,65074.84297,92941,87026,41.4762,72.1671,69.128,7.6575,11.5241,10.8322
lvt_800, lvt,1,0.65,0.96,0.94,61939.50911,84484,83606,38.9243,62.6934,62.549,7.2488,10.4318,10.4618
lvt_1000, lvt,0.9,1.01,1.36,1.26,49813.77179,65211,57401,27.0922,41.3099,37.8481,4.5604,4.8576,4.7863
lvt_1100, lvt,0.9,1.1,1.51,1.38,49030.02655,57308,55321,26.3409,37.2836,35.9121,4.4536,4.2525,4.3863
lvt_1200, lvt,0.9,1.11,1.67,1.5,48979.04695,53426,53611,26.3301,35.6905,34.3657,4.4495,4.0248,4.0386
lvt_750, lvt,0.9,0.79,1.13,1.19,65074.84297,92941,87026,33.3915,58.1005,55.59,5.6233,8.4306,7.9215
lvt_800, lvt,0.9,0.81,1.17,1.16,61939.50911,84484,83606,31.3228,50.4247,50.2786,5.3254,7.6343,7.6507
lvt_850, lvt,0.9,0.86,1.19,1.21,56464.05284,82034,75703,29.4778,49.6998,46.5686,4.8655,7.3489,6.7394
lvt_900, lvt,0.9,0.91,1.22,1.45,53121.09589,76673,55922,28.152,47.1429,36.478,4.6442,6.2513,4.6856
lvt_1000, lvt,0.8,1.36,1.82,1.69,49813.77179,65211,57401,21.5168,32.6959,29.9598,3.3125,3.5294,3.4735
lvt_1100, lvt,0.8,1.48,1.99,1.85,49030.02655,57308,55321,20.9326,29.5287,28.4381,3.2362,3.0952,3.1882
lvt_1200, lvt,0.8,1.5,2.21,2.01,48979.04695,53426,53611,20.922,28.2719,27.2213,3.2332,2.9312,2.9404
lvt_750, lvt,0.8,1.08,1.5,1.58,65074.84297,92941,87026,26.4208,45.912,43.8905,4.0775,6.0898,5.7196
lvt_800, lvt,0.8,1.1,1.54,1.53,61939.50911,84484,83606,24.7788,39.8253,39.6942,3.8631,5.5165,5.5244
lvt_850, lvt,0.8,1.17,1.59,1.62,56464.05284,82034,75703,23.3317,39.2533,36.7534,3.5317,5.3112,4.8727
lvt_900, lvt,0.8,1.23,1.62,1.9,53121.09589,76673,55922,22.3221,37.2709,28.847,3.373,4.5278,3.4024
lvt_850, lvt,1,0.68,0.96,0.92,56369.85522,84161,80427,36.418,62.1338,63.9174,6.6255,10.3686,9.3372
lvt_900, lvt,1,0.72,0.97,0.97,53087.22712,81327,74490,34.652,60.2582,59.9276,6.3208,9.5045,7.8987
lvt_950, lvt,1,0.76,1.01,1,50948.20031,73680,69002,33.9937,56.5035,55.3269,6.3394,7.6507,6.9162
