design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_400, lvt, 0.8, 0.68, 0.80, 0.79, 5663.851279, 6807, 6559, 1.2683, 1.7822, 1.6931, 0.3391397, 0.3789718, 0.360662
lvt_400, lvt, 0.9, 0.50, 0.60, 0.59, 5663.851279, 6807, 6559, 1.6010, 2.2520, 2.1403, 0.4690981, 0.5242473, 0.4990168
lvt_400, lvt, 1.0, 0.40, 0.48, 0.48, 5663.851279, 6807, 6559, 1.9863, 2.7944, 2.6579, 0.6409034, 0.7162815, 0.6819607
lvt_450, lvt, 0.8, 0.68, 0.80, 0.80, 5457.463281, 6807, 6559, 1.2314, 1.8101, 1.6941, 0.3183168, 0.3629246, 0.3430878
lvt_450, lvt, 0.9, 0.50, 0.60, 0.60, 5457.463281, 6807, 6559, 1.5544, 2.2875, 2.1407, 0.4399215, 0.5014734, 0.4739708
lvt_450, lvt, 1.0, 0.40, 0.49, 0.48, 5457.463281, 6807, 6559, 1.9283, 2.8379, 2.6562, 0.6005167, 0.6844197, 0.6467344
lvt_500, lvt, 0.8, 0.69, 0.87, 0.86, 5184.748883, 5125, 5227, 1.1818, 1.3595, 1.3733, 0.2909997, 0.2290782, 0.2261676
lvt_500, lvt, 0.9, 0.50, 0.64, 0.63, 5184.748883, 5125, 5227, 1.4917, 1.7170, 1.7347, 0.402009, 0.3150034, 0.3109888
lvt_500, lvt, 1.0, 0.40, 0.52, 0.51, 5184.748883, 5125, 5227, 1.8503, 2.1273, 2.1502, 0.5485604, 0.4278361, 0.4223845
lvt_550, lvt, 0.8, 0.75, 0.93, 0.93, 3855.927666, 4013, 4035, 0.9551645, 1.1077, 1.0803, 0.2055803, 0.1613342, 0.1601287
lvt_550, lvt, 0.9, 0.55, 0.69, 0.70, 3855.927666, 4013, 4035, 1.2064, 1.3991, 1.3642, 0.2835468, 0.2212284, 0.2195318
lvt_550, lvt, 1.0, 0.44, 0.56, 0.56, 3855.927666, 4013, 4035, 1.4977, 1.7334, 1.6898, 0.3862427, 0.2996217, 0.2972624
lvt_600, lvt, 0.8, 0.82, 1.02, 1.03, 2965.989648, 3138, 3182, 0.7845016, 0.923053, 0.9176414, 0.1571586, 0.1279488, 0.128483
lvt_600, lvt, 0.9, 0.60, 0.76, 0.76, 2965.989648, 3138, 3182, 0.9906041, 1.1655, 1.1587, 0.2165397, 0.1753251, 0.1759711
lvt_600, lvt, 1.0, 0.48, 0.61, 0.61, 2965.989648, 3138, 3182, 1.2298, 1.4440, 1.4355, 0.2946255, 0.2372598, 0.2380161
lvt_700, lvt, 0.8, 0.96, 1.20, 1.20, 2540.160020, 2701, 2745, 0.6913005, 0.8108308, 0.7979991, 0.1335372, 0.102771, 0.0999346
lvt_700, lvt, 0.9, 0.70, 0.89, 0.88, 2540.160020, 2701, 2745, 0.8712144, 1.0227, 1.0071, 0.1838181, 0.1404977, 0.1365052
lvt_700, lvt, 1.0, 0.56, 0.72, 0.71, 2540.160020, 2701, 2745, 1.0797, 1.2662, 1.2475, 0.2498372, 0.1896652, 0.1841288
lvt_800, lvt, 0.8, 1.07, 1.37, 1.36, 2461.485607, 2624, 2646, 0.6808306, 0.7808816, 0.7664716, 0.1313246, 0.0977811, 0.0964347
lvt_800, lvt, 0.9, 0.80, 1.01, 1.00, 2461.485607, 2624, 2646, 0.8568085, 0.9843652, 0.9665503, 0.1806676, 0.1335438, 0.1316437
lvt_800, lvt, 1.0, 0.64, 0.80, 0.80, 2461.485607, 2624, 2646, 1.0608, 1.2190, 1.1977, 0.2454004, 0.1800831, 0.1774415
lvt_900, lvt, 0.8, 1.15, 1.51, 1.52, 2456.722807, 2602, 2613, 0.6767031, 0.7698084, 0.7590414, 0.129379, 0.0951648, 0.0950432
lvt_900, lvt, 0.9, 0.85, 1.12, 1.12, 2456.722807, 2602, 2613, 0.8514197, 0.9708285, 0.9573303, 0.1778812, 0.1298927, 0.1297238
lvt_900, lvt, 1.0, 0.68, 0.90, 0.90, 2456.722807, 2602, 2613, 1.0538, 1.2031, 1.1867, 0.2414695, 0.1750545, 0.1748236
