design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.41, 0.52, 0.52, 1205.870417, 1145, 1100, 0.2021676, 0.2231197, 0.1936662, 0.0695865, 0.0531263, 0.0458346
lvt_300, lvt, 0.9, 0.30, 0.39, 0.38, 1205.870417, 1145, 1100, 0.2549132, 0.2815128, 0.244178, 0.0961106, 0.0731505, 0.0629094
lvt_300, lvt, 1.0, 0.24, 0.31, 0.30, 1205.870417, 1145, 1100, 0.31595, 0.3484908, 0.3020053, 0.1311321, 0.0994969, 0.0852982
lvt_350, lvt, 0.8, 0.48, 0.59, 0.60, 849.718814, 812, 807, 0.1594531, 0.1656146, 0.1517038, 0.0453924, 0.0329386, 0.0307115
lvt_350, lvt, 0.9, 0.35, 0.44, 0.44, 849.718814, 812, 807, 0.2012371, 0.2089952, 0.1913602, 0.0626149, 0.0451895, 0.0421105
lvt_350, lvt, 1.0, 0.28, 0.35, 0.35, 849.718814, 812, 807, 0.2496372, 0.2586891, 0.2367211, 0.0853136, 0.061242, 0.0570378
lvt_400, lvt, 0.8, 0.55, 0.68, 0.69, 583.884010, 612, 601, 0.1183737, 0.1349812, 0.1234586, 0.0311959, 0.0240877, 0.022238
lvt_400, lvt, 0.9, 0.40, 0.50, 0.51, 583.884010, 612, 601, 0.1493768, 0.1702951, 0.1557301, 0.0430156, 0.0329899, 0.0304324
lvt_400, lvt, 1.0, 0.32, 0.40, 0.40, 583.884010, 612, 601, 0.1853116, 0.2107397, 0.1926931, 0.0585748, 0.0446252, 0.0411325
lvt_450, lvt, 0.8, 0.61, 0.76, 0.77, 508.914005, 546, 552, 0.1038588, 0.1234789, 0.1148578, 0.0262797, 0.0195742, 0.0184773
lvt_450, lvt, 0.9, 0.45, 0.56, 0.57, 508.914005, 546, 552, 0.1309153, 0.1557974, 0.1449279, 0.0362121, 0.0267544, 0.0252079
lvt_450, lvt, 1.0, 0.36, 0.45, 0.45, 508.914005, 546, 552, 0.162319, 0.1928718, 0.1794886, 0.049274, 0.0361169, 0.0339649
lvt_500, lvt, 0.8, 0.66, 0.86, 0.85, 493.743604, 524, 524, 0.1011779, 0.1196464, 0.1080857, 0.0249801, 0.0177176, 0.0163913
lvt_500, lvt, 0.9, 0.49, 0.64, 0.63, 493.743604, 524, 524, 0.1274904, 0.1509772, 0.1363714, 0.0343938, 0.0241622, 0.0223094
lvt_500, lvt, 1.0, 0.39, 0.51, 0.50, 493.743604, 524, 524, 0.1580487, 0.1870424, 0.1690057, 0.0467625, 0.0325413, 0.0299872
lvt_600, lvt, 0.8, 0.80, 1.02, 1.02, 505.738806, 530, 535, 0.092074, 0.1097279, 0.1045902, 0.0203286, 0.0136863, 0.01414
lvt_600, lvt, 0.9, 0.59, 0.75, 0.75, 505.738806, 530, 535, 0.1160325, 0.1386785, 0.1321825, 0.0278595, 0.0185346, 0.0191686
lvt_600, lvt, 1.0, 0.47, 0.60, 0.60, 505.738806, 530, 535, 0.1436876, 0.1719965, 0.1640119, 0.037711, 0.0247931, 0.0256671
