design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_400, lvt, 0.8, 0.75, 0.81, 0.85, 1204.988417, 1380, 1293, 0.30462, 0.3573689, 0.3418781, 0.0781839, 0.0846654, 0.0770889
lvt_400, lvt, 0.9, 0.56, 0.61, 0.64, 1204.988417, 1380, 1293, 0.3844936, 0.4513021, 0.4318282, 0.1079148, 0.1170335, 0.1065032
lvt_400, lvt, 1.0, 0.45, 0.50, 0.51, 1204.988417, 1380, 1293, 0.4766999, 0.5595237, 0.5355395, 0.1471079, 0.1597702, 0.1453117
lvt_450, lvt, 0.8, 0.76, 0.80, 0.83, 1198.108818, 1494, 1367, 0.3116079, 0.3794508, 0.3494444, 0.0771331, 0.0881743, 0.0786407
lvt_450, lvt, 0.9, 0.56, 0.60, 0.62, 1198.108818, 1494, 1367, 0.3933718, 0.4789943, 0.441357, 0.1064612, 0.1217585, 0.1086189
lvt_450, lvt, 1.0, 0.45, 0.49, 0.50, 1198.108818, 1494, 1367, 0.4878664, 0.5936738, 0.5473571, 0.1451292, 0.1660608, 0.1481729
lvt_500, lvt, 0.8, 0.75, 0.85, 0.86, 1216.454419, 1065, 1052, 0.299097, 0.2938336, 0.2842276, 0.0789247, 0.0547053, 0.0542227
lvt_500, lvt, 0.9, 0.56, 0.64, 0.64, 1216.454419, 1065, 1052, 0.3774203, 0.3709512, 0.3589463, 0.1089869, 0.0752891, 0.0746354
lvt_500, lvt, 1.0, 0.45, 0.51, 0.52, 1216.454419, 1065, 1052, 0.467846, 0.4593836, 0.4448167, 0.1486465, 0.1023378, 0.1014604
lvt_550, lvt, 0.8, 0.74, 0.92, 0.92, 1174.824019, 945, 978, 0.3128415, 0.260797, 0.264464, 0.0718679, 0.0438125, 0.0451105
lvt_550, lvt, 0.9, 0.55, 0.69, 0.69, 1174.824019, 945, 978, 0.3948357, 0.3292686, 0.3338732, 0.099118, 0.0601337, 0.0619458
lvt_550, lvt, 1.0, 0.44, 0.56, 0.56, 1174.824019, 945, 978, 0.4894692, 0.4077077, 0.4133616, 0.1350195, 0.0815172, 0.0840147
lvt_600, lvt, 0.8, 0.81, 1.02, 1.03, 920.631616, 811, 831, 0.2493843, 0.2217289, 0.2248687, 0.0568512, 0.0354205, 0.0373402
lvt_600, lvt, 0.9, 0.60, 0.76, 0.77, 920.631616, 811, 831, 0.3150042, 0.2800478, 0.2840355, 0.0783702, 0.0485474, 0.0511939
lvt_600, lvt, 1.0, 0.48, 0.61, 0.62, 920.631616, 811, 831, 0.3907985, 0.3469178, 0.3518918, 0.1066898, 0.0657166, 0.0693158
lvt_650, lvt, 0.8, 0.88, 1.09, 1.11, 759.402014, 757, 770, 0.2114005, 0.2105099, 0.2119107, 0.0444377, 0.0330406, 0.0328056
lvt_650, lvt, 0.9, 0.65, 0.81, 0.82, 759.402014, 757, 770, 0.2669846, 0.2658524, 0.2675739, 0.0611945, 0.0452574, 0.0449125
lvt_650, lvt, 1.0, 0.52, 0.65, 0.66, 759.402014, 757, 770, 0.3311139, 0.3292543, 0.3312985, 0.0832154, 0.0612241, 0.0607275
lvt_750, lvt, 0.8, 1.02, 1.25, 1.26, 700.308008, 717, 717, 0.20349, 0.1956318, 0.2014469, 0.0408233, 0.0269665, 0.0275417
lvt_750, lvt, 0.9, 0.75, 0.93, 0.94, 700.308008, 717, 717, 0.2567777, 0.2469614, 0.254323, 0.0562072, 0.0367526, 0.0375414
lvt_750, lvt, 1.0, 0.60, 0.74, 0.75, 700.308008, 717, 717, 0.3180935, 0.3057284, 0.3148436, 0.0764171, 0.0494684, 0.0505358
