top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, True , svt ,0.8,31.887,1.24,0.034839,1.6236,0.034839,0.034839,18.9616,23.702,0.829,0.02558735,1.4693,0.02558735,0.02558735,0,0,0.02558735,0,0,25.5096,31.887,1.24,0.034839,1.6236,0.034839,0.034839,0,0,,,,,,,,,,,,0.61591525,0.680596202,0.61591525,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,23.8944,29.868,1.14,0.02558735,1.0247,0.02558735,0.02558735,0,0,0.02558735,  ,  ,32.1432,40.179,1.7,0.034839,1.1632,0.034839,0.034839,0,0,,,,,,,,,,,,  ,0.975895384,0.859697387,
1, OFF ,0, Wallace ,0, True , svt ,0.9,40.179,1.7,0.034839,1.1632,0.034839,0.034839,23.8944,29.868,1.14,0.02558735,1.0247,0.02558735,0.02558735,0,0,0.02558735,0,0,32.1432,40.179,1.7,0.034839,1.1632,0.034839,0.034839,0,0,,,,,,,,,,,,0.859697387,0.975895384,0.859697387,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,29.5272,36.909,1.53,0.02558735,0.7912,0.02558735,0.02558735,0,0,0.02558735,  ,  ,39.7048,49.631,2.3,0.034839,0.9086,0.034839,0.034839,0,0,,,,,,,,,,,,  ,1.263902932,1.100594321,
1, OFF ,0, Wallace ,0, True , svt ,1,49.631,2.3,0.034839,0.9086,0.034839,0.034839,29.5272,36.909,1.53,0.02558735,0.7912,0.02558735,0.02558735,0,0,0.02558735,0,0,39.7048,49.631,2.3,0.034839,0.9086,0.034839,0.034839,0,0,,,,,,,,,,,,1.100594321,1.263902932,1.100594321,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,19.1046,22.476,0.81,0.024816305,1.4855,0.024816305,0.024816305,0,0,0.024816305,  ,  ,24.8455,29.23,1.19,0.033804238,1.6564,0.033804238,0.033804238,0,0,,,,,,,,,,,,  ,0.673174015,0.603718908,
1, OFF ,0, Wallace ,0, True , svt ,0.8,29.23,1.19,0.033804238,1.6564,0.033804238,0.033804238,19.1046,22.476,0.81,0.024816305,1.4855,0.024816305,0.024816305,0,0,0.024816305,0,0,24.8455,29.23,1.19,0.033804238,1.6564,0.033804238,0.033804238,0,0,,,,,,,,,,,,0.603718908,0.673174015,0.603718908,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,24.0771,28.326,1.11,0.024816305,1.0393,0.024816305,0.024816305,0,0,0.024816305,  ,  ,31.30975,36.835,1.64,0.033804238,1.1799,0.033804238,0.033804238,0,0,,,,,,,,,,,,  ,0.962186087,0.847529452,
1, OFF ,0, Wallace ,0, True , svt ,0.9,36.835,1.64,0.033804238,1.1799,0.033804238,0.033804238,24.0771,28.326,1.11,0.024816305,1.0393,0.024816305,0.024816305,0,0,0.024816305,0,0,31.30975,36.835,1.64,0.033804238,1.1799,0.033804238,0.033804238,0,0,,,,,,,,,,,,0.847529452,0.962186087,0.847529452,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,29.7483,34.998,1.5,0.024816305,0.8001,0.024816305,0.024816305,0,0,0.024816305,  ,  ,38.6784,45.504,2.21,0.033804238,0.9164,0.033804238,0.033804238,0,0,,,,,,,,,,,,  ,1.24984377,1.091226539,
