design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.60, 2.12, 2.10, 82995.848961, 104843, 99977, 30.2441, 48.6547, 46.1205, 5.1921, 6.6546, 6.3189
lvt_1000, lvt, 0.9, 1.19, 1.60, 1.59, 82995.848961, 104843, 99977, 38.2336, 61.5708, 58.3784, 7.1661, 9.2067, 8.7432
lvt_1000, lvt, 1.0, 0.95, 1.30, 1.30, 82995.848961, 104843, 99977, 47.4863, 76.4710, 72.5345, 9.7669, 12.5773, 11.9455
lvt_1050, lvt, 0.8, 1.62, 2.13, 2.12, 80246.654905, 104630, 96988, 29.4320, 47.8567, 45.0654, 4.9884, 6.5693, 6.1319
lvt_1050, lvt, 0.9, 1.20, 1.61, 1.60, 80246.654905, 104630, 96988, 37.2011, 60.5633, 57.0364, 6.8828, 9.0887, 8.4840
lvt_1050, lvt, 1.0, 0.96, 1.31, 1.30, 80246.654905, 104630, 96988, 46.1939, 75.2257, 70.8476, 9.3776, 12.4164, 11.5905
lvt_1100, lvt, 0.8, 1.63, 2.10, 2.08, 79634.017724, 111460, 102623, 29.1832, 51.5509, 47.4180, 4.9258, 7.0871, 6.5891
lvt_1100, lvt, 0.9, 1.20, 1.59, 1.57, 79634.017724, 111460, 102623, 36.8901, 65.2270, 60.0284, 6.7955, 9.8074, 9.1248
lvt_1100, lvt, 1.0, 0.96, 1.29, 1.28, 79634.017724, 111460, 102623, 45.8124, 81.0013, 74.5935, 9.2572, 13.4011, 12.4773
lvt_1200, lvt, 0.8, 1.63, 2.11, 2.13, 77487.758813, 104502, 89561, 28.5993, 47.7188, 41.4803, 4.6955, 5.9823, 5.1067
lvt_1200, lvt, 0.9, 1.20, 1.58, 1.60, 77487.758813, 104502, 89561, 36.1419, 60.3702, 52.4846, 6.4742, 8.2573, 7.0472
lvt_1200, lvt, 1.0, 0.96, 1.29, 1.30, 77487.758813, 104502, 89561, 44.8656, 74.9330, 65.1526, 8.8144, 11.2541, 9.6026
lvt_1300, lvt, 0.8, 1.76, 2.24, 2.32, 68870.794769, 82304, 77138, 25.8354, 37.9870, 35.8862, 4.0228, 4.3644, 4.0626
lvt_1300, lvt, 0.9, 1.30, 1.69, 1.74, 68870.794769, 82304, 77138, 32.6380, 48.0658, 45.4027, 5.5433, 6.0086, 5.5934
lvt_1300, lvt, 1.0, 1.04, 1.37, 1.41, 68870.794769, 82304, 77138, 40.4977, 59.6664, 56.3515, 7.5422, 8.1681, 7.6041
lvt_1400, lvt, 0.8, 1.90, 2.48, 2.46, 65022.981233, 74577, 71290, 24.4585, 34.0101, 33.2266, 3.7388, 3.6899, 3.5259
lvt_1400, lvt, 0.9, 1.40, 1.86, 1.84, 65022.981233, 74577, 71290, 30.8899, 43.0378, 42.0323, 5.1512, 5.0717, 4.8458
lvt_1400, lvt, 1.0, 1.12, 1.50, 1.49, 65022.981233, 74577, 71290, 38.3190, 53.4365, 52.1623, 7.0076, 6.8834, 6.5762
lvt_1500, lvt, 0.8, 2.03, 2.61, 2.65, 62466.944858, 71717, 68387, 24.0372, 32.9749, 31.8334, 3.6051, 3.4091, 3.2022
lvt_1500, lvt, 0.9, 1.50, 1.96, 1.98, 62466.944858, 71717, 68387, 30.3323, 41.6983, 40.2446, 4.9665, 4.6803, 4.3929
lvt_1500, lvt, 1.0, 1.20, 1.59, 1.60, 62466.944858, 71717, 68387, 37.6003, 51.7324, 49.9228, 6.7553, 6.3448, 5.9504
lvt_1600, lvt, 0.8, 2.15, 2.73, 2.87, 59331.963220, 71119, 65740, 24.6857, 33.0170, 31.7009, 3.7693, 3.4374, 3.3105
lvt_1600, lvt, 0.9, 1.60, 2.04, 2.16, 59331.963220, 71119, 65740, 31.0822, 41.6890, 40.0085, 5.1958, 4.7176, 4.5418
lvt_1600, lvt, 1.0, 1.28, 1.66, 1.75, 59331.963220, 71119, 65740, 38.4810, 51.6671, 49.5905, 7.0703, 6.3928, 6.1514
lvt_950, lvt, 0.8, 1.61, 2.15, 2.13, 81973.434521, 100019, 96177, 29.7936, 46.6998, 44.8292, 5.0947, 6.3287, 6.0482
lvt_950, lvt, 0.9, 1.19, 1.62, 1.61, 81973.434521, 100019, 96177, 37.6663, 59.0944, 56.7363, 7.0308, 8.7514, 8.3639
lvt_950, lvt, 1.0, 0.95, 1.32, 1.31, 81973.434521, 100019, 96177, 46.7856, 73.3853, 70.4729, 9.5813, 11.9494, 11.4207
