design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.34, 1.68, 1.76, 12813.519555, 14948, 14646, 6.0605, 7.2627, 7.2139, 0.9113243, 0.8362009, 0.8185472
lvt_1000, lvt, 0.9, 1.00, 1.26, 1.31, 12813.519555, 14948, 14646, 7.6504, 9.1703, 9.1090, 1.2585, 1.1516, 1.1271
lvt_1000, lvt, 1.0, 0.80, 1.02, 1.05, 12813.519555, 14948, 14646, 9.4988, 11.3695, 11.2939, 1.7156, 1.5659, 1.5322
lvt_1100, lvt, 0.8, 1.48, 1.91, 1.88, 11002.244433, 12947, 12647, 4.8865, 6.3693, 6.0726, 0.709483, 0.6716217, 0.6584535
lvt_1100, lvt, 0.9, 1.10, 1.42, 1.40, 11002.244433, 12947, 12647, 6.1659, 8.0447, 7.6672, 0.9774536, 0.9245652, 0.9064508
lvt_1100, lvt, 1.0, 0.88, 1.15, 1.13, 11002.244433, 12947, 12647, 7.6538, 9.9766, 9.5048, 1.3296, 1.2568, 1.2322
lvt_1200, lvt, 0.8, 1.61, 2.10, 2.06, 10147.233608, 12166, 11713, 4.2996, 5.9433, 5.7482, 0.5999946, 0.5744951, 0.5642416
lvt_1200, lvt, 0.9, 1.20, 1.57, 1.54, 10147.233608, 12166, 11713, 5.4148, 7.5056, 7.2550, 0.8237986, 0.7887342, 0.7745606
lvt_1200, lvt, 1.0, 0.96, 1.27, 1.24, 10147.233608, 12166, 11713, 6.7082, 9.3048, 8.9894, 1.1168, 1.0693, 1.0500
lvt_1300, lvt, 0.8, 1.79, 2.32, 2.20, 9912.269118, 10844, 10761, 4.2943, 5.4388, 5.3125, 0.6046364, 0.5312903, 0.5187802
lvt_1300, lvt, 0.9, 1.31, 1.72, 1.64, 9912.269118, 10844, 10761, 5.4165, 6.8660, 6.7049, 0.8315152, 0.7302753, 0.7128539
lvt_1300, lvt, 1.0, 1.04, 1.39, 1.32, 9912.269118, 10844, 10761, 6.7317, 8.5208, 8.3187, 1.1291, 0.9911306, 0.9671893
lvt_1400, lvt, 0.8, 1.92, 2.44, 2.38, 9778.734313, 10679, 10564, 4.2009, 5.2911, 5.2441, 0.5945195, 0.5303892, 0.5129063
lvt_1400, lvt, 0.9, 1.41, 1.81, 1.76, 9778.734313, 10679, 10564, 5.2993, 6.6797, 6.6192, 0.8175397, 0.7291976, 0.7047578
lvt_1400, lvt, 1.0, 1.12, 1.44, 1.41, 9778.734313, 10679, 10564, 6.5876, 8.2909, 8.2139, 1.1100, 0.9898865, 0.9561646
lvt_900, lvt, 0.8, 1.22, 1.51, 1.51, 15233.727689, 17708, 17357, 7.0066, 8.5124, 8.4142, 1.1175, 1.0796, 1.0673
lvt_900, lvt, 0.9, 0.90, 1.13, 1.14, 15233.727689, 17708, 17357, 8.8661, 10.7562, 10.6334, 1.5461, 1.4905, 1.4733
lvt_900, lvt, 1.0, 0.72, 0.93, 0.92, 15233.727689, 17708, 17357, 11.0407, 13.3477, 13.1972, 2.1120, 2.0316, 2.0079
lvt_950, lvt, 0.8, 1.29, 1.59, 1.63, 13386.643217, 15978, 15747, 6.1503, 7.5888, 7.6231, 0.9245129, 0.8829914, 0.8949319
lvt_950, lvt, 0.9, 0.95, 1.19, 1.22, 13386.643217, 15978, 15747, 7.7667, 9.5837, 9.6274, 1.2765, 1.2163, 1.2332
lvt_950, lvt, 1.0, 0.76, 0.97, 0.99, 13386.643217, 15978, 15747, 9.6447, 11.8807, 11.9358, 1.7400, 1.6542, 1.6778
