design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.36, 1.68, 1.71, 18104.108771, 20530, 19304, 6.5204, 8.4527, 7.9414, 1.0952, 1.1008, 1.0147
lvt_1000, lvt, 0.9, 1.01, 1.27, 1.28, 18104.108771, 20530, 19304, 8.2416, 10.6871, 10.0434, 1.5099, 1.5161, 1.3973
lvt_1000, lvt, 1.0, 0.80, 1.03, 1.04, 18104.108771, 20530, 19304, 10.2338, 13.2570, 12.4625, 2.0556, 2.0619, 1.9000
lvt_1100, lvt, 0.8, 1.48, 1.87, 1.86, 15644.916260, 17539, 16571, 5.8028, 7.3811, 6.8138, 0.9217492, 0.862395, 0.8062769
lvt_1100, lvt, 0.9, 1.10, 1.40, 1.39, 15644.916260, 17539, 16571, 7.3327, 9.3343, 8.6156, 1.2706, 1.1855, 1.1080
lvt_1100, lvt, 1.0, 0.88, 1.13, 1.12, 15644.916260, 17539, 16571, 9.1020, 11.5806, 10.6879, 1.7295, 1.6091, 1.5035
lvt_1200, lvt, 0.8, 1.63, 2.02, 2.02, 14551.236170, 15817, 15602, 5.4719, 6.5567, 6.4424, 0.8454406, 0.7232557, 0.7164539
lvt_1200, lvt, 0.9, 1.20, 1.51, 1.50, 14551.236170, 15817, 15602, 6.9093, 8.2883, 8.1445, 1.1649, 0.9920045, 0.9825451
lvt_1200, lvt, 1.0, 0.96, 1.22, 1.21, 14551.236170, 15817, 15602, 8.5687, 10.2791, 10.1028, 1.5847, 1.3436, 1.3306
lvt_1300, lvt, 0.8, 1.76, 2.23, 2.18, 13736.620793, 15064, 14827, 5.4984, 6.5075, 6.0970, 0.8371346, 0.705275, 0.6819708
lvt_1300, lvt, 0.9, 1.30, 1.67, 1.62, 13736.620793, 15064, 14827, 6.9290, 8.2137, 7.6908, 1.1537, 0.9666937, 0.9340065
lvt_1300, lvt, 1.0, 1.04, 1.34, 1.31, 13736.620793, 15064, 14827, 8.5803, 10.1767, 9.5246, 1.5696, 1.3082, 1.2630
lvt_1400, lvt, 0.8, 1.87, 2.34, 2.37, 13401.107929, 14720, 14483, 5.4711, 6.4621, 5.9682, 0.8388631, 0.7090603, 0.6737218
lvt_1400, lvt, 0.9, 1.40, 1.76, 1.76, 13401.107929, 14720, 14483, 6.8898, 8.1501, 7.5244, 1.1557, 0.971853, 0.9223591
lvt_1400, lvt, 1.0, 1.12, 1.42, 1.41, 13401.107929, 14720, 14483, 8.5298, 10.0941, 9.3196, 1.5717, 1.3151, 1.2467
