top_FPGen.FPGen.Architecture , top_FPGen.FPGen.CMA.EnableDenormals , top_FPGen.FPGen.CMA.EnableForwarding , top_FPGen.FPGen.CMA.EnableMultiplePumping , top_FPGen.FPGen.CMA.ExponentWidth , top_FPGen.FPGen.CMA.FractionWidth , top_FPGen.FPGen.CMA.MUL.Mult.MultP.BoothType , top_FPGen.FPGen.CMA.MUL.Mult.MultP.Designware_MODE , top_FPGen.FPGen.CMA.MUL.Mult.MultP.TreeType , top_FPGen.FPGen.CMA.MulPipelineDepth , top_FPGen.FPGen.CMA.PipelineDepth , top_FPGen.FPGen.DW_FMA.EnableDenormals , top_FPGen.FPGen.DW_FMA.EnableForwarding , top_FPGen.FPGen.DW_FMA.ExponentWidth , top_FPGen.FPGen.DW_FMA.FractionWidth , top_FPGen.FPGen.DW_FMA.PipelineDepth , top_FPGen.FPGen.FMA.EnableDenormals , top_FPGen.FPGen.FMA.EnableForwarding , top_FPGen.FPGen.FMA.EnableMultiplePumping , top_FPGen.FPGen.FMA.ExponentWidth , top_FPGen.FPGen.FMA.FractionWidth , top_FPGen.FPGen.FMA.MulShift.MUL0.BoothType , top_FPGen.FPGen.FMA.MulShift.MUL0.Designware_MODE , top_FPGen.FPGen.FMA.MulShift.MUL0.TreeType , top_FPGen.FPGen.FMA.MulpPipelineDepth , top_FPGen.FPGen.FMA.PipelineDepth , top_FPGen.FPGen.FMA.Retiming , top_FPGen.FPGen.FMA.SmartRetiming , TOP_RP , TOP_VT , TOP_Voltage , COST_Mapped_Add_Dyn_Energy_pJ , COST_Mapped_Add_Dyn_Power_mW , COST_Mapped_Add_Leak_Power_mW , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_MulAdd_Dyn_Energy_pJ , COST_Mapped_MulAdd_Dyn_Power_mW , COST_Mapped_MulAdd_Leak_Power_mW , COST_Mapped_Mul_Dyn_Energy_pJ , COST_Mapped_Mul_Dyn_Power_mW , COST_Mapped_Mul_Leak_Power_mW , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Mapped__u_CompoundAdder_Add_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Add_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Add_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Avg_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Leak_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Mul_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Leak_Power_mW , COST_Mapped__u_CompoundAdder__Area_mmsq , COST_Mapped__u_LZA_Add_Dyn_Energy_pJ , COST_Mapped__u_LZA_Add_Dyn_Power_mW , COST_Mapped__u_LZA_Add_Leak_Power_mW , COST_Mapped__u_LZA_Avg_Dyn_Energy_pJ , COST_Mapped__u_LZA_Avg_Dyn_Power_mW , COST_Mapped__u_LZA_Avg_Leak_Power_mW , COST_Mapped__u_LZA_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_LZA_MulAdd_Dyn_Power_mW , COST_Mapped__u_LZA_MulAdd_Leak_Power_mW , COST_Mapped__u_LZA_Mul_Dyn_Energy_pJ , COST_Mapped__u_LZA_Mul_Dyn_Power_mW , COST_Mapped__u_LZA_Mul_Leak_Power_mW , COST_Mapped__u_LZA__Area_mmsq , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Add_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP__Area_mmsq , PERF_Mapped_Clk_Freq_Ghz
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,1,22.837,22.837,1.25,36.932,36.932,1.29,0.071859716,1.8506,0.068209648,0.071859716,43.863,43.863,1.29,43.863,43.863,1.29,0,0.003650069,0.071859716,1.862,1.862,0.0598,2.267,2.267,0.0587,2.396,2.396,0.0584,2.396,2.396,0.0584,0.002073406,2.88,2.88,0.0957,3.389,3.389,0.0945,3.298,3.298,0.0944,3.298,3.298,0.0944,0.005744643,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.540365287
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,0.8,15.0975,10.065,0.687,25.2015,16.801,0.721,0.077833679,3.5587,0.074154504,0.077833679,30.153,20.102,0.719,30.153,20.102,0.719,0,0.003679175,0.077833679,1.4205,0.947,0.036,1.7115,1.141,0.0353,1.803,1.202,0.0351,1.803,1.202,0.0351,0.002493061,2.067,1.378,0.054,2.436,1.624,0.0532,2.3775,1.585,0.0532,2.3775,1.585,0.0532,0.006277371,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.281001489
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,0.9,19.08,12.72,0.969,31.8825,21.255,1.01,0.077833679,2.4506,0.074154504,0.077833679,38.157,25.438,1.01,38.157,25.438,1.01,0,0.003679175,0.077833679,1.7985,1.199,0.0506,2.1675,1.445,0.0497,2.2845,1.523,0.0495,2.2845,1.523,0.0495,0.002493061,2.619,1.746,0.0757,3.087,2.058,0.0746,3.012,2.008,0.0745,3.012,2.008,0.0745,0.006277371,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.408063331
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,1,23.565,15.71,1.36,39.405,26.27,1.41,0.077833679,1.8666,0.074154504,0.077833679,47.1705,31.447,1.41,47.1705,31.447,1.41,0,0.003679175,0.077833679,2.226,1.484,0.0708,2.682,1.788,0.0695,2.826,1.884,0.0691,2.826,1.884,0.0691,0.002493061,3.24,2.16,0.105,3.8205,2.547,0.104,3.7245,2.483,0.103,3.7245,2.483,0.103,0.006277371,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.535733419
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,0.8,17.674,8.837,0.786,28.722,14.361,0.822,0.087528799,3.3878,0.083857386,0.087528799,34.016,17.008,0.82,34.016,17.008,0.82,0,0.003671413,0.087528799,1.6,0.8,0.0414,1.938,0.969,0.0405,2.048,1.024,0.0402,2.048,1.024,0.0402,0.002745666,2.462,1.231,0.0648,2.9,1.45,0.0639,2.82,1.41,0.0638,2.82,1.41,0.0638,0.00726574,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.295176811
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,0.9,22.35,11.175,1.11,36.354,18.177,1.16,0.087528799,2.3188,0.083857386,0.087528799,43.062,21.531,1.15,43.062,21.531,1.15,0,0.003671413,0.087528799,2.03,1.015,0.0581,2.456,1.228,0.0569,2.594,1.297,0.0565,2.594,1.297,0.0565,0.002745666,3.118,1.559,0.0908,3.674,1.837,0.0895,3.572,1.786,0.0894,3.572,1.786,0.0894,0.00726574,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.431257547
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,3,1,0, True , hvt ,1,27.616,13.808,1.55,44.944,22.472,1.61,0.087528799,1.761,0.083857386,0.087528799,53.246,26.623,1.61,53.246,26.623,1.61,0,0.003671413,0.087528799,2.512,1.256,0.0811,3.04,1.52,0.0793,3.21,1.605,0.0788,3.21,1.605,0.0788,0.002745666,3.858,1.929,0.126,4.546,2.273,0.124,4.42,2.21,0.124,4.42,2.21,0.124,0.00726574,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.567859171
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,15.9835,127.868,4.74,25.24175,201.934,4.93,0.070916329,1.7949,0.06559487,0.070916329,29.836875,238.695,4.93,29.836875,238.695,4.93,0,0.005321459,0.070916329,1.23125,9.85,0.223,1.515,12.12,0.218,1.59575,12.766,0.216,1.59575,12.766,0.216,0.00195557,1.964125,15.713,0.368,2.2335,17.868,0.363,2.186,17.488,0.362,2.186,17.488,0.362,0.005512147,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.557134102
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,20.08025,160.642,6.56,31.8095,254.476,6.83,0.070916329,1.3486,0.06559487,0.070916329,37.631,301.048,6.82,37.631,301.048,6.82,0,0.005321459,0.070916329,1.556375,12.451,0.309,1.915,15.32,0.302,2.017125,16.137,0.299,2.017125,16.137,0.299,0.00195557,2.47775,19.822,0.509,2.817375,22.539,0.502,2.757625,22.061,0.5,2.757625,22.061,0.5,0.005512147,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.741509714
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,24.784,198.272,8.96,39.369625,314.957,9.34,0.070916329,1.0894,0.06559487,0.070916329,46.606875,372.855,9.32,46.606875,372.855,9.32,0,0.005321459,0.070916329,1.9295,15.436,0.423,2.37375,18.99,0.413,2.5005,20.004,0.409,2.5005,20.004,0.409,0.00195557,3.0695,24.556,0.694,3.49,27.92,0.684,3.41575,27.326,0.682,3.41575,27.326,0.682,0.005512147,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.917936479
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,15.82775,63.311,4.84,25.3375,101.35,5.04,0.072092035,1.7778,0.06686742,0.072092035,30.0895,120.358,5.03,30.0895,120.358,5.03,0,0.005224615,0.072092035,1.29075,5.163,0.237,1.5705,6.282,0.231,1.645,6.58,0.229,1.645,6.58,0.229,0.002036538,2.176,8.704,0.44,2.56075,10.243,0.433,2.5085,10.034,0.432,2.5085,10.034,0.432,0.006503163,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.562492969
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,19.90175,79.607,6.7,31.94375,127.775,6.98,0.072092035,1.3394,0.06686742,0.072092035,37.9625,151.85,6.97,37.9625,151.85,6.97,0,0.005224615,0.072092035,1.6315,6.526,0.329,1.9855,7.942,0.321,2.0795,8.318,0.317,2.0795,8.318,0.317,0.002036538,2.74425,10.977,0.607,3.22975,12.919,0.598,3.16375,12.655,0.597,3.16375,12.655,0.597,0.006503163,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.746602957
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,24.58025,98.321,9.15,39.544,158.176,9.54,0.072092035,1.0831,0.06686742,0.072092035,47.025,188.1,9.52,47.025,188.1,9.52,0,0.005224615,0.072092035,2.02275,8.091,0.451,2.46125,9.845,0.439,2.5775,10.31,0.434,2.5775,10.31,0.434,0.002036538,3.3985,13.594,0.827,3.99975,15.999,0.816,3.9185,15.674,0.814,3.9185,15.674,0.814,0.006503163,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.923275782
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,17.6275,35.255,4.7,25.763,51.526,4.84,0.066227264,1.7758,0.061044102,0.066227264,29.5685,59.137,4.83,29.5685,59.137,4.83,0,0.005183161,0.066227264,1.414,2.828,0.248,1.7325,3.465,0.242,1.825,3.65,0.24,1.825,3.65,0.24,0.002182774,2.2885,4.577,0.436,2.6155,5.231,0.431,2.5565,5.113,0.43,2.5565,5.113,0.43,0.00644301,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.563126478
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,22.1685,44.337,6.5,32.474,64.948,6.7,0.066227264,1.3342,0.061044102,0.066227264,37.296,74.592,6.69,37.296,74.592,6.69,0,0.005183161,0.066227264,1.7885,3.577,0.344,2.1915,4.383,0.336,2.308,4.616,0.332,2.308,4.616,0.332,0.002182774,2.887,5.774,0.602,3.2995,6.599,0.595,3.225,6.45,0.594,3.225,6.45,0.594,0.00644301,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.749512817
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,27.387,54.774,8.88,40.205,80.41,9.16,0.066227264,1.0764,0.061044102,0.066227264,46.206,92.412,9.15,46.206,92.412,9.15,0,0.005183161,0.066227264,2.2175,4.435,0.472,2.717,5.434,0.459,2.8615,5.723,0.454,2.8615,5.723,0.454,0.002182774,3.576,7.152,0.821,4.0865,8.173,0.812,3.995,7.99,0.811,3.995,7.99,0.811,0.00644301,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.929022668
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,18.21825,24.291,4.3,25.89,34.52,4.5,0.06550861,1.7612,0.060463393,0.06550861,29.421,39.228,4.49,29.421,39.228,4.49,0,0.005045216,0.06550861,1.5375,2.05,0.274,1.89675,2.529,0.267,2.00325,2.671,0.265,2.00325,2.671,0.265,0.00224469,2.17275,2.897,0.443,2.5335,3.378,0.436,2.4885,3.318,0.434,2.4885,3.318,0.434,0.006471763,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.567794685
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,22.908,30.544,5.93,32.63475,43.513,6.21,0.06550861,1.3238,0.060463393,0.06550861,37.116,49.488,6.2,37.116,49.488,6.2,0,0.005045216,0.06550861,1.94475,2.593,0.38,2.39925,3.199,0.371,2.53425,3.379,0.367,2.53425,3.379,0.367,0.00224469,2.7405,3.654,0.613,3.19575,4.261,0.603,3.13875,4.185,0.601,3.13875,4.185,0.601,0.006471763,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.755401118
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,28.296,37.728,8.07,40.41,53.88,8.48,0.06550861,1.0695,0.060463393,0.06550861,45.99975,61.333,8.46,45.99975,61.333,8.46,0,0.005045216,0.06550861,2.41275,3.217,0.522,2.97525,3.967,0.508,3.14325,4.191,0.503,3.14325,4.191,0.503,0.00224469,3.3945,4.526,0.837,3.9585,5.278,0.823,3.88725,5.183,0.82,3.88725,5.183,0.82,0.006471763,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.935016363
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,17.188,17.188,3.99,24.486,24.486,4.19,0.062049758,1.7459,0.056976847,0.062049758,27.826,27.826,4.18,27.826,27.826,4.18,0,0.005072911,0.062049759,1.426,1.426,0.258,1.755,1.755,0.252,1.853,1.853,0.25,1.853,1.853,0.25,0.002131794,2.074,2.074,0.427,2.427,2.427,0.42,2.374,2.374,0.418,2.374,2.374,0.418,0.006232389,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.572770491
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,21.599,21.599,5.49,30.854,30.854,5.79,0.062049758,1.3155,0.056976847,0.062049758,35.096,35.096,5.78,35.096,35.096,5.78,0,0.005072911,0.062049759,1.803,1.803,0.359,2.219,2.219,0.35,2.343,2.343,0.347,2.343,2.343,0.347,0.002131794,2.615,2.615,0.59,3.061,3.061,0.58,2.994,2.994,0.578,2.994,2.994,0.578,0.006232389,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.760167237
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,26.668,26.668,7.47,38.2,38.2,7.9,0.062049758,1.0639,0.056976847,0.062049758,43.494,43.494,7.88,43.494,43.494,7.88,0,0.005072911,0.062049759,2.237,2.237,0.492,2.752,2.752,0.48,2.905,2.905,0.475,2.905,2.905,0.475,0.002131794,3.238,3.238,0.804,3.791,3.791,0.792,3.709,3.709,0.789,3.709,3.709,0.789,0.006232389,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.939937964
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,8.1615,5.441,2.06,14.0565,9.371,2.28,0.037956694,2.5431,0.033309083,0.037956694,17.226,11.484,2.27,17.226,11.484,2.27,0,0.004647611,0.037956694,0.744,0.496,0.136,0.9495,0.633,0.133,1.0065,0.671,0.132,1.0065,0.671,0.132,0.001056636,0.7065,0.471,0.103,0.8235,0.549,0.0997,0.8115,0.541,0.0986,0.8115,0.541,0.0986,0.002168309,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.393220872
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,10.215,6.81,2.81,17.7015,11.801,3.13,0.037956694,1.8774,0.033309083,0.037956694,21.7275,14.485,3.12,21.7275,14.485,3.12,0,0.004647611,0.037956694,0.939,0.626,0.188,1.1985,0.799,0.184,1.272,0.848,0.183,1.272,0.848,0.183,0.001056636,0.8925,0.595,0.142,1.038,0.692,0.137,1.0215,0.681,0.136,1.0215,0.681,0.136,0.002168309,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.532651539
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,12.5655,8.377,3.8,21.912,14.608,4.25,0.037956694,1.4979,0.033309083,0.037956694,26.94,17.96,4.24,26.94,17.96,4.24,0,0.004647611,0.037956694,1.1625,0.775,0.257,1.485,0.99,0.252,1.5765,1.051,0.25,1.5765,1.051,0.25,0.001056636,1.104,0.736,0.193,1.2855,0.857,0.187,1.2675,0.845,0.185,1.2675,0.845,0.185,0.002168309,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.667601308
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.8,7.848,3.924,1.96,13.656,6.828,2.19,0.037448132,3.3569,0.032795406,0.037448132,16.802,8.401,2.18,16.802,8.401,2.18,0,0.004652726,0.037448132,0.612,0.306,0.0864,0.768,0.384,0.0843,0.812,0.406,0.0835,0.812,0.406,0.0835,0.000861008,0.644,0.322,0.0892,0.778,0.389,0.086,0.784,0.392,0.0847,0.784,0.392,0.0847,0.001975504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.29789389
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,0.9,9.866,4.933,2.68,17.244,8.622,3.01,0.037448132,2.4973,0.032795406,0.037448132,21.236,10.618,3,21.236,10.618,3,0,0.004652726,0.037448132,0.774,0.387,0.119,0.972,0.486,0.116,1.026,0.513,0.115,1.026,0.513,0.115,0.000861008,0.812,0.406,0.123,0.984,0.492,0.118,0.99,0.495,0.116,0.99,0.495,0.116,0.001975504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.400432467
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , lvt ,1,12.184,6.092,3.61,21.404,10.702,4.08,0.037448132,1.9992,0.032795406,0.037448132,26.394,13.197,4.07,26.394,13.197,4.07,0,0.004652726,0.037448132,0.96,0.48,0.161,1.206,0.603,0.158,1.27,0.635,0.156,1.27,0.635,0.156,0.000861008,1.006,0.503,0.166,1.22,0.61,0.16,1.23,0.615,0.158,1.23,0.615,0.158,0.001975504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.50020008
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , svt ,0.8,16.232625,129.861,2.4,25.921125,207.369,2.52,0.077140427,2.3127,0.071987959,0.077140427,30.846375,246.771,2.52,30.846375,246.771,2.52,0,0.005152468,0.077140427,1.3215,10.572,0.114,1.610375,12.883,0.112,1.694875,13.559,0.111,1.694875,13.559,0.111,0.002192476,2.00925,16.074,0.179,2.26375,18.11,0.178,2.184625,17.477,0.178,2.184625,17.477,0.178,0.005796504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.432395036
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , svt ,0.9,20.392375,163.139,3.28,32.623125,260.985,3.46,0.077140427,1.6413,0.071987959,0.077140427,38.8415,310.732,3.45,38.8415,310.732,3.45,0,0.005152468,0.077140427,1.66725,13.338,0.157,2.031625,16.253,0.153,2.138125,17.105,0.152,2.138125,17.105,0.152,0.002192476,2.530125,20.241,0.245,2.850625,22.805,0.243,2.750875,22.007,0.243,2.750875,22.007,0.243,0.005796504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.609273137
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , svt ,1,25.114625,200.917,4.42,40.243875,321.951,4.66,0.077140427,1.2853,0.071987959,0.077140427,47.935875,383.487,4.65,47.935875,383.487,4.65,0,0.005152468,0.077140427,2.06075,16.486,0.212,2.51075,20.086,0.206,2.642375,21.139,0.205,2.642375,21.139,0.205,0.002192476,3.122875,24.983,0.33,3.518375,28.147,0.327,3.39525,27.162,0.328,3.39525,27.162,0.328,0.005796504,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.778028476
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , svt ,0.8,16.094,64.376,2.36,25.845,103.38,2.48,0.076532905,2.3871,0.071452938,0.076532905,30.6825,122.73,2.48,30.6825,122.73,2.48,0,0.005079967,0.076532905,1.36575,5.463,0.114,1.66725,6.669,0.112,1.75325,7.013,0.111,1.75325,7.013,0.111,0.002178716,1.762,7.048,0.171,2.088,8.352,0.169,2.04375,8.175,0.169,2.04375,8.175,0.169,0.005540195,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.418918353
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,2, OFF , Wallace ,2,4,1,0, True , svt ,0.9,20.23925,80.957,3.23,32.54875,130.195,3.4,0.076532905,1.6935,0.071452938,0.076532905,38.65625,154.625,3.39,38.65625,154.625,3.39,0,0.005079967,0.076532905,1.72325,6.893,0.156,2.1035,8.414,0.153,2.21225,8.849,0.152,2.21225,8.849,0.152,0.002178716,2.21875,8.875,0.234,2.62925,10.517,0.231,2.57325,10.293,0.231,2.57325,10.293,0.231,0.005540195,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.590493062
