top_FPGen.FPGen.Architecture , top_FPGen.FPGen.CMA.EnableDenormals , top_FPGen.FPGen.CMA.EnableForwarding , top_FPGen.FPGen.CMA.EnableMultiplePumping , top_FPGen.FPGen.CMA.ExponentWidth , top_FPGen.FPGen.CMA.FractionWidth , top_FPGen.FPGen.CMA.MUL.Mult.MultP.BoothType , top_FPGen.FPGen.CMA.MUL.Mult.MultP.Designware_MODE , top_FPGen.FPGen.CMA.MUL.Mult.MultP.TreeType , top_FPGen.FPGen.CMA.MulPipelineDepth , top_FPGen.FPGen.CMA.PipelineDepth , top_FPGen.FPGen.DW_FMA.EnableDenormals , top_FPGen.FPGen.DW_FMA.EnableForwarding , top_FPGen.FPGen.DW_FMA.ExponentWidth , top_FPGen.FPGen.DW_FMA.FractionWidth , top_FPGen.FPGen.DW_FMA.PipelineDepth , top_FPGen.FPGen.FMA.EnableDenormals , top_FPGen.FPGen.FMA.EnableForwarding , top_FPGen.FPGen.FMA.EnableMultiplePumping , top_FPGen.FPGen.FMA.ExponentWidth , top_FPGen.FPGen.FMA.FractionWidth , top_FPGen.FPGen.FMA.MulShift.MUL0.BoothType , top_FPGen.FPGen.FMA.MulShift.MUL0.Designware_MODE , top_FPGen.FPGen.FMA.MulShift.MUL0.TreeType , top_FPGen.FPGen.FMA.MulpPipelineDepth , top_FPGen.FPGen.FMA.PipelineDepth , top_FPGen.FPGen.FMA.Retiming , top_FPGen.FPGen.FMA.SmartRetiming , TOP_RP , TOP_VT , TOP_Voltage , COST_Mapped_Add_Dyn_Energy_pJ , COST_Mapped_Add_Dyn_Power_mW , COST_Mapped_Add_Leak_Power_mW , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_MulAdd_Dyn_Energy_pJ , COST_Mapped_MulAdd_Dyn_Power_mW , COST_Mapped_MulAdd_Leak_Power_mW , COST_Mapped_Mul_Dyn_Energy_pJ , COST_Mapped_Mul_Dyn_Power_mW , COST_Mapped_Mul_Leak_Power_mW , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Mapped__u_CompoundAdder_Add_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Add_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Add_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Avg_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Leak_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Mul_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Leak_Power_mW , COST_Mapped__u_CompoundAdder__Area_mmsq , COST_Mapped__u_LZA_Add_Dyn_Energy_pJ , COST_Mapped__u_LZA_Add_Dyn_Power_mW , COST_Mapped__u_LZA_Add_Leak_Power_mW , COST_Mapped__u_LZA_Avg_Dyn_Energy_pJ , COST_Mapped__u_LZA_Avg_Dyn_Power_mW , COST_Mapped__u_LZA_Avg_Leak_Power_mW , COST_Mapped__u_LZA_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_LZA_MulAdd_Dyn_Power_mW , COST_Mapped__u_LZA_MulAdd_Leak_Power_mW , COST_Mapped__u_LZA_Mul_Dyn_Energy_pJ , COST_Mapped__u_LZA_Mul_Dyn_Power_mW , COST_Mapped__u_LZA_Mul_Leak_Power_mW , COST_Mapped__u_LZA__Area_mmsq , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Add_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP__Area_mmsq , PERF_Mapped_Clk_Freq_Ghz
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,14.856,19.808,6.05,25.15725,33.543,6.2,0.086438118,1.7713,0.082821918,0.086438118,30.4215,40.562,6.18,30.4215,40.562,6.18,0,0.0036162,0.086438118,1.37325,1.831,0.253,1.62075,2.161,0.246,1.69425,2.259,0.244,1.69425,2.259,0.244,0.002184185,1.6365,2.182,0.316,2.0445,2.726,0.306,2.11575,2.821,0.303,2.11575,2.821,0.303,0.004773208,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.564557105
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,18.705,24.94,8.43,31.734,42.312,8.61,0.086438118,1.3346,0.082821918,0.086438118,38.394,51.192,8.58,38.394,51.192,8.58,0,0.0036162,0.086438118,1.737,2.316,0.351,2.049,2.732,0.341,2.14125,2.855,0.338,2.14125,2.855,0.338,0.002184185,2.06475,2.753,0.435,2.58075,3.441,0.422,2.6685,3.558,0.418,2.6685,3.558,0.418,0.004773208,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.749288176
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,23.1315,30.842,11.6,39.30075,52.401,11.8,0.086438118,1.0846,0.082821918,0.086438118,47.5665,63.422,11.8,47.5665,63.422,11.8,0,0.0036162,0.086438118,2.1525,2.87,0.481,2.5395,3.386,0.467,2.65425,3.539,0.463,2.65425,3.539,0.463,0.002184185,2.55825,3.411,0.593,3.1965,4.262,0.575,3.306,4.408,0.569,3.306,4.408,0.569,0.004773208,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.921998894
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,14.322,14.322,4.12,22.233,22.233,4.42,0.071045983,1.6899,0.067659279,0.071045983,26.187,26.187,4.39,26.187,26.187,4.39,0,0.003386704,0.071045983,1.367,1.367,0.251,1.613,1.613,0.244,1.686,1.686,0.242,1.686,1.686,0.242,0.002178011,1.612,1.612,0.318,1.996,1.996,0.309,2.066,2.066,0.305,2.066,2.066,0.305,0.004839887,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.591750991
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,18.041,18.041,5.7,28.067,28.067,6.11,0.071045983,1.2669,0.067659279,0.071045983,33.08,33.08,6.07,33.08,33.08,6.07,0,0.003386704,0.071045983,1.729,1.729,0.348,2.039,2.039,0.339,2.131,2.131,0.335,2.131,2.131,0.335,0.002178011,2.033,2.033,0.439,2.518,2.518,0.426,2.606,2.606,0.422,2.606,2.606,0.422,0.004839887,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.789328282
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,22.318,22.318,7.8,34.788,34.788,8.34,0.071045983,1.0245,0.067659279,0.071045983,41.026,41.026,8.28,41.026,41.026,8.28,0,0.003386704,0.071045983,2.143,2.143,0.477,2.528,2.528,0.464,2.641,2.641,0.459,2.641,2.641,0.459,0.002178011,2.518,2.518,0.599,3.118,3.118,0.581,3.228,3.228,0.575,3.228,3.228,0.575,0.004839887,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.976085896
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,6.6495,4.433,2.65,13.092,8.728,2.93,0.046368857,2.5394,0.043174253,0.046368857,16.485,10.99,2.91,16.485,10.99,2.91,0,0.003194604,0.046368857,0.726,0.484,0.131,0.8715,0.581,0.129,0.9105,0.607,0.128,0.9105,0.607,0.128,0.00106722,0.603,0.402,0.0907,0.7575,0.505,0.0871,0.7845,0.523,0.0859,0.7845,0.523,0.0859,0.001835089,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.39379381
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,8.364,5.576,3.66,16.5225,11.015,4.04,0.046368857,1.882,0.043174253,0.046368857,20.8185,13.879,4.01,20.8185,13.879,4.01,0,0.003194604,0.046368857,0.9165,0.611,0.181,1.0995,0.733,0.178,1.149,0.766,0.177,1.149,0.766,0.177,0.00106722,0.7605,0.507,0.124,0.9555,0.637,0.12,0.99,0.66,0.118,0.99,0.66,0.118,0.001835089,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.531349628
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,10.338,6.892,4.98,20.4855,13.657,5.5,0.046368857,1.4997,0.043174253,0.046368857,25.83,17.22,5.46,25.83,17.22,5.46,0,0.003194604,0.046368857,1.134,0.756,0.248,1.362,0.908,0.243,1.4235,0.949,0.241,1.4235,0.949,0.241,0.00106722,0.942,0.628,0.169,1.1835,0.789,0.162,1.2255,0.817,0.16,1.2255,0.817,0.16,0.001835089,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.666800027
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,6.55,3.275,2.65,12.94,6.47,2.9,0.044884274,3.4392,0.042027829,0.044884274,16.308,8.154,2.89,16.308,8.154,2.89,0,0.002856445,0.044884274,0.748,0.374,0.097,0.934,0.467,0.0943,0.986,0.493,0.0935,0.986,0.493,0.0935,0.000865242,0.584,0.292,0.0821,0.714,0.357,0.079,0.734,0.367,0.078,0.734,0.367,0.078,0.001708434,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.290765294
